"t_num","t_dir","r_num","r_dir","R_pt_ct","NR_pt_ct","kadmon_index_top","kadmon_index_bottom","kadmon_index","OBJECTID","Shape_Length","Shape_Area"
41,"N",5,"W",7,0,-7,2.64034314095416,-2.65117055863821,1487,55956.70436,-194012921.8
41,"N",11,"E",5,0,-5,2.23280411942157,-2.23933660660537,1498,55385.11652,-191581917.5
41,"N",10,"E",4,0,-4,1.99766491455695,-2.00233781494187,1496,55525.59407,-191893281.2
41,"N",1,"W",2,0,-2,1.41338822611233,-1.41503938058208,1479,55662.85052,-195085900.2
41,"N",4,"W",1,0,-1,0.999708242152798,-1.00029184299469,1485,56040.78729,-195544431.7
41,"N",3,"W",3,0,-3,1.73053434662654,-1.73356859738041,1483,55411.17204,-193597658.8
41,"N",2,"W",4,0,-4,1.99766491455695,-2.00233781494187,1481,56002.3391,-195583305.2
41,"N",9,"E",3,0,-3,1.73053434662654,-1.73356859738041,1494,55545.99433,-192936742.8
41,"N",8,"E",6,0,-6,2.44519866256641,-2.45378835341852,1492,55470.56808,-192338378.7
41,"N",7,"E",4,0,-4,1.99766491455695,-2.00233781494187,1490,55549.77838,-193758637.7
41,"N",6,"E",8,0,-8,2.82181864112619,-2.83505108492983,1488,55687.35194,-193656003.2
41,"N",5,"E",2,0,-2,1.41338822611233,-1.41503938058208,1486,55638.2453,-193506024.1
41,"N",4,"E",2,0,-2,1.41338822611233,-1.41503938058208,1484,55598.05221,-192285339.1
41,"N",3,"E",2,0,-2,1.41338822611233,-1.41503938058208,1482,55365.30584,-191723626.4
41,"N",1,"E",4,0,-4,1.99766491455695,-2.00233781494187,1478,55519.88396,-192992345.1
41,"N",2,"E",3,0,-3,1.73053434662654,-1.73356859738041,1480,55217.45605,-190161484.7
41,"N",17,"W",0,0,0,0,NA,1511,23193.48896,-21393713.42
41,"N",14,"E",1,0,-1,0.999708242152798,-1.00029184299469,1504,51708.42433,-87657893.05
41,"N",16,"E",0,0,0,0,NA,1508,41271.34795,-48753120.79
41,"N",15,"E",3,0,-3,1.73053434662654,-1.73356859738041,1506,50451.37885,-40660459.8
40,"N",18,"W",1,0,-1,0.999708242152798,-1.00029184299469,1475,53410.3638,-125629616.8
40,"N",17,"W",2,0,-2,1.41338822611233,-1.41503938058208,1473,52970.5231,-175710913.1
40,"N",16,"W",2,0,-2,1.41338822611233,-1.41503938058208,1471,53007.84653,-175624222.7
40,"N",15,"W",4,0,-4,1.99766491455695,-2.00233781494187,1469,54724.3695,-186408603.6
40,"N",14,"W",4,0,-4,1.99766491455695,-2.00233781494187,1467,54189.44402,-183342333.6
41,"N",17,"E",0,0,0,0,NA,1510,12400.6785,2827096.606
40,"N",13,"W",3,0,-3,1.73053434662654,-1.73356859738041,1465,54024.64515,-182349835.8
40,"N",12,"W",8,0,-8,2.82181864112619,-2.83505108492983,1463,54562.65795,-185483722.7
41,"N",17,"E",0,0,0,0,NA,1510,12400.6785,2827096.606
40,"N",11,"W",5,0,-5,2.23280411942157,-2.23933660660537,1461,54650.69322,-184964666.6
40,"N",10,"W",2,0,-2,1.41338822611233,-1.41503938058208,1459,53294.79084,-178005525.7
40,"N",17,"E",5,0,-5,2.23280411942157,-2.23933660660537,1472,56845.92616,-173157036.7
40,"N",16,"E",2,0,-2,1.41338822611233,-1.41503938058208,1470,55724.93443,-193667091.5
