"catalogNumber","class","order","family","scientificName","taxonID","scientificNameAuthorship","genus","specificEpithet","infraspecificEpithet","taxonRank","identifiedBy","dateIdentified","collectedBy","recordNumber","eventDate","year","month","day","startDayOfYear","verbatimEventDate","occurrenceRemarks","habitat","informationWithheld","county","locality","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","N_latitude","W_longitude","georeferenceProtocol","georeferenceSources","georeferenceRemarks","minimumElevationInMeters","verbatimElevation","month_fctr","recordedBy_og","coll_gr"
"SUWS010076","Equisetopsida","Lycopodiales","Lycopodiaceae","Diphasiastrum tristachyum",3415,"(Pursh) Holub","Diphasiastrum","tristachyum","","","","","Johnson, Robbye","s.n.","1985-10-09",1985,10,9,282,"1985-10-09","","Brush prairie, burned 10 years before collection, full sun.",NA,"Douglas","CTH T and Cronin Rd. S Douglas Co. [can't find Cronin Rd.]",46.18661,-91.98815,NA,14403,"46.186610 N"," 91.988150 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","October","Johnson, Robbye","Other Collectors"
"SUWS010078","Equisetopsida","Equisetales","Equisetaceae","Equisetum arvense",3530,"L.","Equisetum","arvense","","","Peck, James H.","","Thomson, John W., Jr.","s.n.","1942-07-18",1942,7,18,199,"1942-07-18","","",NA,"Douglas","Superior. Sand Island in Superior Bay",46.73216,-92.0663,NA,5466,"46.732160 N"," 92.066300 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Thomson, John W., Jr.; Smith, C. W.","Thomson, John W., Jr."
"SUWS010090","Equisetopsida","Selaginellales","Selaginellaceae","Selaginella rupestris",5023,"(L.) Spring","Selaginella","rupestris","","","Peck, James H.","","Cherf","s.n.","1964-07-25",1964,7,25,207,"1964-07-25","","On rock in side of cliff.",NA,"Bayfield","Pigeon Lake Biology Station",46.34228,-91.34901,NA,2257,"46.342280 N"," 91.349010 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Cherf; Brashier","Other Collectors"
"SUWS010091","Equisetopsida","Ophioglossales","Ophioglossaceae","Botrychium virginianum",12874,"(L.) Sw.","Botrychium","virginianum","","","Peck, James H.","","Brashier","PL-229","1964-07-15",1964,7,15,197,"1964-07-15","","Floor of virgin hemlock forest.",NA,"Bayfield","Pigeon Lake Biology Station",46.34228,-91.34901,NA,2257,"46.342280 N"," 91.349010 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Brashier; Cherf","Brashier"
"SUWS010095","Equisetopsida","Osmundales","Osmundaceae","Osmunda cinnamomea",4382,"L.","Osmunda","cinnamomea","","","","","Brashier","PL-227","1964-07-04",1964,7,4,186,"1964-07-04","","Shady forest floor.",NA,"Bayfield","Pigeon Lake Field Station",46.34228,-91.34901,NA,2257,"46.342280 N"," 91.349010 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Brashier; Grage","Brashier"
"SUWS010097","Equisetopsida","Osmundales","Osmundaceae","Osmunda cinnamomea",4382,"L.","Osmunda","cinnamomea","","","","","Brashier","PL-240","1964-06-30",1964,6,30,182,"1964-06-30","","Forest floor.",NA,"Bayfield","Pigeon Lake Field Station",46.34228,-91.34901,NA,2257,"46.342280 N"," 91.349010 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","June","Brashier","Brashier"
"SUWS010098","Equisetopsida","Osmundales","Osmundaceae","Osmunda cinnamomea",4382,"L.","Osmunda","cinnamomea","","","","","Brashier","PL-225","1964-06-30",1964,6,30,182,"1964-06-30","","Shady, moist forest floor.",NA,"Bayfield","Pigeon Lake Field Station",46.34228,-91.34901,NA,2257,"46.342280 N"," 91.349010 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","June","Brashier; Raatz","Brashier"
"SUWS010103","Equisetopsida","Osmundales","Osmundaceae","Osmunda claytoniana",4383,"L.","Osmunda","claytoniana","","","","","Thomson, John W., Jr.","s.n.","1942-06-27",1942,6,27,178,"1942-06-27","","",NA,"Douglas","Superior. Road to Wisconsin Point",46.69472,-91.99265,NA,2450,"46.694720 N"," 91.992650 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","June","Thomson, John W., Jr.","Thomson, John W., Jr."
"SUWS010119","Equisetopsida","Polypodiales","Thelypteridaceae","Phegopteris connectilis",4474,"(Michx.) Watt","Phegopteris","connectilis","","","Peck, James H.","1978","Koch, Rudy G.","8858","1974-07-25",1974,7,25,206,"1974-07-25","","Forest, maple stand.",NA,"Ashland","Stockton Island. One of the Apostle Island group; ca. 10 miles NE of Bayfield",46.13035,-90.66867,NA,13163,"46.130350 N"," 90.668670 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Koch, Rudy G.","Koch, Rudy G."
"SUWS010121","Equisetopsida","Polypodiales","Dryopteridaceae","Athyrium filix-femina var. angustum",6516,"(Willd.) G.Lawson","Athyrium","filix-femina","angustum","var.","","","Koch, Rudy G.","6187","1969-08-21",1969,8,21,233,"1969-08-21","","Deciduous woods with some conifers, sandy soil in a shady area, along trail.",NA,"Bayfield","Drummond. Lake Owen Campground area, ca 5 mi. W of Drummond",46.33685,-91.36282,NA,2559,"46.336850 N"," 91.362820 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","August","Koch, Rudy G.","Koch, Rudy G."
"SUWS010126","Equisetopsida","Polypodiales","Dryopteridaceae","Athyrium filix-femina var. angustum",6516,"(Willd.) G.Lawson","Athyrium","filix-femina","angustum","var.","","","Michell, John","s.n.","1968-07-14",1968,7,14,196,"1968-07-14","","Marsh with mostly black ash present, shady.",NA,"Douglas","Marsh area 800 ft. from Big Lake, Brule River 0.5 mile S of access landing.",46.47883,-91.60297,NA,986,"46.478830 N"," 91.602970 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Michell, John","Other Collectors"
"SUWS010131","Equisetopsida","Polypodiales","Dryopteridaceae","Gymnocarpium dryopteris",3784,"(L.) Newman","Gymnocarpium","dryopteris","","","Peck, James H.","1978","Mitchell, John A.","s.n.","1968-07-28",1968,7,28,210,"1968-07-28","","Cedar grove, old growth, very shady, growing mostly on rotting wood with moss.",NA,"Douglas","E of Stone's Bridge, CTH S, Brule River",46.43413,-91.67513,NA,1371,"46.434130 N"," 91.675130 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Mitchell, John A.","Other Collectors"
"SUWS010136","Equisetopsida","Polypodiales","Dryopteridaceae","Matteuccia struthiopteris var. pensylvanica",4206,"(Willd.) C.V.Morton","Matteuccia","struthiopteris","pensylvanica","var.","","","","s.n.","1942-07-13",1942,7,13,194,"1942-07-13","","Creek valley.",NA,"Douglas","Dewey. Clear Creek, S of Dewey",46.55439,-92.24019,NA,2085,"46.554390 N"," 92.240190 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","","Other Collectors"
"SUWS010138","Equisetopsida","Polypodiales","Dryopteridaceae","Onoclea sensibilis",4358,"L.","Onoclea","sensibilis","","","Peck, James H.","1978","Brashier","PL-233","1964-07-08",1964,7,8,190,"1964-07-08","","Forest floor.",NA,"Bayfield","Pigeon Lake Field Station",46.34228,-91.34901,NA,2257,"46.342280 N"," 91.349010 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Brashier; Parrish","Brashier"
"SUWS010148","Equisetopsida","Polypodiales","Dryopteridaceae","Dryopteris intermedia",3446,"(Muhl. ex Willd.) A.Gray","Dryopteris","intermedia","","","Peck, James H.","1978","Koch, Rudy G.","8848","1974-07-25",1974,7,25,206,"1974-07-25","","Forest floor, maple stand.",NA,"Ashland","Stockton Island. Stockton Island in the Apostle Island group; ca. 10 miles NE of Bayfield",46.93799,-90.57852,NA,6365,"46.937990 N"," 90.578520 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Koch, Rudy G.","Koch, Rudy G."
"SUWS010150","Equisetopsida","Polypodiales","Dryopteridaceae","Dryopteris intermedia",3446,"(Muhl. ex Willd.) A.Gray","Dryopteris","intermedia","","","Peck, James H.","1978","Brashier","PL-237","1964-07-20",1964,7,20,202,"1964-07-20","","Wet soil near bog.",NA,"Bayfield","Pigeon Lake Field Station",46.34228,-91.34901,NA,2257,"46.342280 N"," 91.349010 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Brashier; Cherf","Brashier"
"SUWS010152","Equisetopsida","Polypodiales","Dryopteridaceae","Dryopteris intermedia",3446,"(Muhl. ex Willd.) A.Gray","Dryopteris","intermedia","","","Peck, James H.","1977","Koch, Rudy G.","6812","1970-06-27",1970,6,27,178,"1970-06-27","","Mixed decidous forest.",NA,"Bayfield","Drummond. Perch Lake Campground area, Chequamegon National Forest; ca 5 mi. N of Drummond",46.38856,-91.26936,NA,2334,"46.388560 N"," 91.269360 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","June","Koch, Rudy G.","Koch, Rudy G."
"SUWS010159","Equisetopsida","Polypodiales","Dryopteridaceae","Dryopteris intermedia",3446,"(Muhl. ex Willd.) A.Gray","Dryopteris","intermedia","","","Peck, James H.","1978","Brashier","PL-236","1964-07-08",1964,7,8,190,"1964-07-08","","Mixed forest undergrowth.",NA,"Bayfield","Pigeon Lake Field Station",46.34228,-91.34901,NA,2257,"46.342280 N"," 91.349010 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Brashier; Thoren","Brashier"
"SUWS010160","Equisetopsida","Polypodiales","Dryopteridaceae","Dryopteris carthusiana",3440,"(Vill.) H.P.Fuchs","Dryopteris","carthusiana","","","","","Koch, Rudy G.","8010","1973-08-02",1973,8,2,214,"1973-08-02","","",NA,"Ashland","Stockton Island. One of the Apostle Island group, ca. 10 miles NE Bayfield",46.13035,-90.66867,NA,13163,"46.130350 N"," 90.668670 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","August","Koch, Rudy G.","Koch, Rudy G."
