"catalogNumber","recordedBy_primary","recordedBy_secondary","recordedBy_tertiary"
"SUWS011705","","",""
"SUWS011706","Brashier"," Walvoord",""
"SUWS011707","Jones"," Brashier",""
"SUWS011710","Brost, Mike","",""
"SUWS011713","Collins"," Brashier",""
"SUWS011714","Castle, R.","",""
"SUWS011715","Brashier"," Romans",""
"SUWS011716","Thomson, John W., Jr.","",""
"SUWS011717","Thomson, John W., Jr.","",""
"SUWS011718","Thomson, John W., Jr.","",""
"SUWS011719","Koch, Rudy G.","",""
"SUWS011720","Brashier"," Romans",""
"SUWS011722","Walvoord"," Brashier",""
"SUWS011723","Brashier"," Thoren",""
"SUWS011727","Wassgren"," Brashier",""
"SUWS011729","Koch, Rudy G.","",""
"SUWS011730","Thomson, John W., Jr.","",""
"SUWS011731","Mackensen"," Brashier",""
"SUWS011733","Janowski"," Brashier",""
"SUWS011734","Muller"," Brashier",""
"SUWS011735","Callister, Steven M.","",""
"SUWS011736","Hjerleid"," Brashier",""
"SUWS011737","Koch, Rudy G.","",""
"SUWS011738","Cherf"," Brashier",""
"SUWS011740","Brashier"," Romans",""
"SUWS011741","Valaskey"," Brashier",""
"SUWS011742","Thomson, John W., Jr.","",""
"SUWS011745","Hein, Elizabeth","",""
"SUWS011746","Hein, Elizabeth","",""
"SUWS011747","Thomson, John W., Jr.","",""
"SUWS011748","Thomson, John W., Jr.","",""
"SUWS011749","McGovern, Scott","",""
"SUWS011750","Koch, Rudy G.","",""
"SUWS011751","Olson, Patti","",""
"SUWS011752","Thomson, John W., Jr.","",""
"SUWS011753","Koch, Rudy G.","",""
"SUWS011754","Brashier"," Romans",""
"SUWS011755","Brashier"," Romans",""
"SUWS011756","Castle, R."," Johnson, R.",""
"SUWS011758","Cherf"," Brashier",""
"SUWS011759","Collins"," Brashier",""
"SUWS011760","Brashier"," Walvoord",""
"SUWS011761","Gunderson"," Brashier",""
"SUWS011762","Brashier"," Smith",""
"SUWS011763","Brashier"," Cherf",""
"SUWS011764","Collins"," Brashier",""
"SUWS011765","Hjerleid"," Brashier",""
"SUWS011766","Brashier"," Grage",""
"SUWS011768","Olson, Patti","",""
"SUWS011769","Brashier"," Thoren",""
"SUWS011770","Brashier"," Valaskey",""
"SUWS011771","Thomson, John W., Jr.","",""
"SUWS011772","Brashier"," Romans",""
"SUWS011773","Thomson, John W., Jr.","",""
"SUWS011774","Koch, Rudy G.","",""
"SUWS011775","Castle, R.","",""
"SUWS011777","Castle, R.","",""
"SUWS011778","Leitner, Lawrence A.","",""
"SUWS011779","Gitar"," Rounce",""
"SUWS011780","Mendenhall, Paula M.","",""
"SUWS011781","Brashier"," Thoren",""
"SUWS011782","Collins"," Brashier",""
"SUWS011783","Brashier"," Romans",""
"SUWS011784","Stackler, Susan","",""
"SUWS011785","Collins"," Brashier",""
"SUWS011788","Sima, Bessie R.","",""
"SUWS011789","Demaske, D.","",""
"SUWS011790","Brashier"," Romans",""
"SUWS011791","Castle, R.","",""
"SUWS011792","Collins"," Brashier",""
"SUWS011794","","",""
"SUWS011795","Barnard"," Brashier",""
"SUWS011797","Hjerleid"," Brashier",""
"SUWS011798","Cornell"," Brashier",""
"SUWS011799","Castle, R.","",""
"SUWS011800","Brashier"," Romans",""
"SUWS011801","Witkiewicz, E. J.","",""
"SUWS011803","Brashier"," Valaskey",""
"SUWS011804","Brashier"," Thoren",""
"SUWS011805","Cornell"," Brashier",""
"SUWS011806","Thomson, John W., Jr.","",""
"SUWS011807","Collinson, Keith","",""
"SUWS011808","Koch, Rudy G.","",""
"SUWS011809","Brashier"," Romans",""
"SUWS011810","Collins"," Brashier",""
"SUWS011811","Cornell"," Brashier",""
"SUWS011812","Castle, R.","",""
"SUWS011813","Brashier"," Valaskey",""
"SUWS011814","Brashier"," Walvoord",""
"SUWS011815","Thomson, John W., Jr."," Smith, C. W.",""
"SUWS011816","Hjerleid"," Brashier",""
"SUWS011817","Wong, Kenneth","",""
"SUWS011819","Lahti, Duane","",""
"SUWS011820","Koch, Rudy G.","",""
"SUWS011821","Hein, Elizabeth","",""
"SUWS011822","Shaw"," Brashier",""
"SUWS011823","Thomson, John W., Jr.","",""
"SUWS011824","Jones"," Brashier",""
"SUWS011826","Brashier"," Romans",""
"SUWS011827","Brashier"," Romans",""
"SUWS011828","Cornell"," Brashier",""
"SUWS011829","Brashier"," Janowski",""
"SUWS011830","Koch, Rudy G.","",""
"SUWS011831","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS011832","Thomson, John W., Jr.","",""
"SUWS011833","Staupe, Jane","",""
"SUWS011834","Thomson, John W., Jr.","",""
"SUWS011836","Thomson, John W., Jr.","",""
"SUWS011837","Koch, Rudy G.","",""
"SUWS011838","Thomson, John W., Jr.","",""
"SUWS011839","Thomson, John W., Jr.","",""
"SUWS011840","Koch, Rudy G.","",""
"SUWS011841","Thomson, John W., Jr.","",""
"SUWS011842","Stackler, Susan","",""
"SUWS011843","Brashier"," Romans",""
"SUWS011844","Thomson, John W., Jr.","",""
"SUWS011845","Staupe, Jane","",""
"SUWS011846","Thomson, John W., Jr.","",""
"SUWS011847","Brashier"," Romans",""
"SUWS011848","Carline, R.","",""
"SUWS011850","Davidson, Donald W."," Collins, Matt",""
"SUWS011851","Davidson, Donald W."," Collins, Matt",""
"SUWS011852","Castle, R.","",""
"SUWS011853","Bruederle, Leo P.","",""
"SUWS011854","Castle, R.","",""
"SUWS011857","Johnson, R."," Castle, R."," Anderson, D."
"SUWS011859","Thomson, John W., Jr.","",""
"SUWS011860","Thomson, John W., Jr.","",""
"SUWS011861","Brashier"," Romans",""
"SUWS011862","Brashier"," Romans",""
"SUWS011863","Thomson, John W., Jr.","",""
"SUWS011864","Thomson, John W., Jr.","",""
"SUWS011865","Knuf, Phillip","",""
"SUWS011867","Brashier"," Romans",""
"SUWS011868","Brashier"," Romans",""
"SUWS011869","Thomson, John W., Jr.","",""
"SUWS011870","Brashier"," Romans",""
"SUWS011871","Brashier"," Romans",""
"SUWS011873","Thomson, John W., Jr.","",""
"SUWS011874","Stackler, Susan","",""
"SUWS011875","Castle, R."," Johnson, R.",""
"SUWS011876","Dabydeen, Simon","",""
"SUWS011877","Johnson, R."," Castle, R."," Anderson, D."
"SUWS011878","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS011881","Brashier"," Romans",""
"SUWS011882","Thomson, John W., Jr.","",""
"SUWS011883","Thomson, John W., Jr.","",""
"SUWS011884","Castle, R.","",""
"SUWS011885","Staupe, Jane","",""
"SUWS011886","Jones"," Brashier",""
"SUWS011887","Brashier","",""
"SUWS011892","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS011893","Stackler, Susan","",""
"SUWS011894","Castle, R.","",""
"SUWS011895","Collins"," Brashier",""
"SUWS011896","Brashier"," Romans",""
"SUWS011897","Thomson, John W., Jr.","",""
"SUWS011898","Brashier"," Romans",""
"SUWS011899","Brashier"," Romans",""
"SUWS011900","Brashier"," Romans",""
"SUWS011901","Koch, Rudy G.","",""
"SUWS011902","Thomson, John W., Jr.","",""
"SUWS011903","Brashier"," Walvoord",""
"SUWS011904","Tendrup, Lynn S.","",""
"SUWS011905","Thomson, John W., Jr.","",""
"SUWS011906","Davidson, Donald W."," Collins, Matt",""
"SUWS011907","Tendrup, Lynn S.","",""
"SUWS011908","Koch, Rudy G.","",""
"SUWS011909","Koch, Rudy G.","",""
"SUWS011912","Thomson, John W., Jr.","",""
"SUWS011913","Thomson, John W., Jr.","",""
"SUWS011914","Thomson, John W., Jr.","",""
"SUWS011915","Thomson, John W., Jr.","",""
"SUWS011916","Brost, Mike","",""
"SUWS011917","Collins"," Brashier",""
"SUWS011918","Cornell"," Brashier",""
"SUWS011919","Staupe, Jane","",""
"SUWS011920","Romans"," Brashier",""
"SUWS011921","Brashier"," Thoren",""
"SUWS011922","Brashier"," Cherf",""
"SUWS011923","Brashier"," Romans",""
"SUWS011924","Koch, Rudy G.","",""
"SUWS011925","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS011926","Thomson, John W., Jr.","",""
"SUWS011927","Thomson, John W., Jr.","",""
"SUWS011928","Thomson, John W., Jr.","",""
"SUWS011933","Purtell, Harriet M.","",""
"SUWS011935","Thomson, John W., Jr.","",""
"SUWS011936","Olson, Patti","",""
"SUWS011937","Collins"," Brashier",""
"SUWS011938","Brashier"," Romans",""
"SUWS011939","Brashier"," Romans",""
"SUWS011940","Holden"," Brashier",""
"SUWS011941","Cornell"," Brashier",""
"SUWS011942","Brashier"," Romans",""
"SUWS011943","Thomson, John W., Jr.","",""
"SUWS011944","Koch, Rudy G.","",""
"SUWS011945","Thomson, John W., Jr.","",""
"SUWS011947","Collins"," Brashier",""
"SUWS011948","Holden"," Brashier",""
"SUWS011949","Hjerleid"," Brashier",""
"SUWS011950","Brashier"," Romans",""
"SUWS011951","Brashier"," Grage",""
"SUWS011955","Thomson, John W., Jr.","",""
"SUWS011956","Brashier"," Collins",""
"SUWS011957","Brashier"," Romans",""
"SUWS011958","Brashier"," Romans",""
"SUWS011959","Barnard"," Brashier",""
"SUWS011960","Holden"," Brashier",""
"SUWS011961","Cornell"," Brashier",""
"SUWS011962","Thoren"," Brashier",""
"SUWS011963","Brashier"," Parrish",""
"SUWS011964","Koch, Rudy G.","",""
"SUWS011966","Koch, Rudy G.","",""
"SUWS011967","Thomson, John W., Jr.","",""
"SUWS011968","Barnard"," Brashier",""
"SUWS011969","Holden"," Brashier",""
"SUWS011970","Cornell"," Brashier",""
"SUWS011971","Hein, Elizabeth","",""
"SUWS011972","Hein, Elizabeth","",""
"SUWS011973","Brashier"," Romans",""
"SUWS011974","Thomson, John W., Jr.","",""
"SUWS011975","Cornell"," Brashier",""
"SUWS011976","Koch, Rudy G.","",""
"SUWS011977","Castle, R.","",""
"SUWS011978","McGovern, Scott","",""
"SUWS011979","Barnard"," Brashier",""
"SUWS011980","Koch, Rudy G.","",""
"SUWS011983","Castle, R.","",""
"SUWS011984","Romans"," Brashier",""
"SUWS011985","Holden","Brashier",""
"SUWS011987","Thomson, John W., Jr.","",""
"SUWS011988","Thomson, John W., Jr.","",""
"SUWS011989","Brashier"," Romans",""
"SUWS011990","Hjerleid"," Brashier",""
"SUWS011991","Brashier"," Gall",""
"SUWS011992","Koch, Rudy G.","",""
"SUWS011993","Cherf"," Brashier",""
"SUWS011994","Brashier"," Romans",""
"SUWS011995","Brashier"," Romans",""
"SUWS011996","Thomson, John W., Jr.","",""
"SUWS011997","Valaskey"," Brashier",""
"SUWS011998","Stackler, Susan","",""
"SUWS011999","Castle, R.","",""
"SUWS012000","Castle, R.","",""
"SUWS012004","Thomson, John W., Jr.","",""
"SUWS012005","Thomson, John W., Jr."," Fassett, Norman C.",""
"SUWS012007","Brashier"," Walvoord",""
"SUWS012008","Castle, R.","",""
"SUWS012009","Koch, Rudy G.","",""
"SUWS012010","Thomson, John W., Jr.","",""
"SUWS012011","Thomson, John W., Jr.","",""
"SUWS012012","Brashier"," Gall",""
"SUWS012013","Brashier"," Janowski",""
"SUWS012014","Brashier"," Romans",""
"SUWS012015","Davidson, Donald W."," Collins, Matt",""
"SUWS012016","Davidson, Donald W."," Collins, Matt",""
"SUWS012017","Davidson, Donald W."," Collins, Matt",""
"SUWS012018","Davidson, Donald W."," Collins, Matt",""
"SUWS012019","Davidson, Donald W."," Collins, Matt",""
"SUWS012020","Davidson, Donald W."," Collins, Matt",""
"SUWS012021","Davidson, Donald W."," Collins, Matt",""
"SUWS012022","Davidson, Donald W."," Collins, Matt",""
"SUWS012023","Koch, Rudy G.","",""
"SUWS012024","Thomson, John W., Jr.","",""
"SUWS012025","Thomson, John W., Jr.","",""
"SUWS012026","Brashier"," Romans",""
"SUWS012027","Brashier"," Gall",""
"SUWS012028","Castle, R.","",""
"SUWS012029","Brashier"," Janowski",""
"SUWS012030","Koch, Rudy G.","",""
"SUWS012031","Brashier"," Walvoord",""
"SUWS012032","Brashier"," Romans",""
"SUWS012033","Hansen, Perky","",""
"SUWS012034","Munich, Robert A.","",""
"SUWS012036","Stackler, Susan","",""
"SUWS012037","Brashier"," Gall",""
"SUWS012038","Thomson, John W., Jr.","",""
"SUWS012039","Davidson, Donald W."," Collins, Matt",""
"SUWS012040","Davidson, Donald W."," Collins, Matt",""
"SUWS012041","Davidson, Donald W."," Collins, Matt",""
"SUWS012042","Davidson, Donald W."," Collins, Matt",""
"SUWS012043","Davidson, Donald W."," Collins, Matt",""
"SUWS012045","Davidson, Donald W."," Collins, Matt",""
"SUWS012046","Davidson, Donald W."," Collins, Matt",""
"SUWS012047","Thomson, John W., Jr."," Smith, C. W.",""
"SUWS012049","Thomson, John W., Jr.","",""
"SUWS012050","Thomson, John W., Jr.","",""
"SUWS012052","Thomson, John W., Jr.","",""
"SUWS012053","Brashier"," Romans",""
"SUWS012054","Thomson, John W., Jr.","",""
"SUWS012055","Stackler, Susan","",""
"SUWS012058","Hjerleid"," Brashier",""
"SUWS012059","Valaskey"," Brashier",""
"SUWS012060","Castle, R.","",""
"SUWS012061","Clement, G. G.","",""
"SUWS012062","Koch, Rudy G.","",""
"SUWS012063","Thomson, John W., Jr.","",""
"SUWS012065","Stackler, Susan","",""
"SUWS012067","Smetak, Scott","",""
"SUWS012068","Koch, Rudy G.","",""
"SUWS012069","Bruederle, Leo P.","",""
"SUWS012070","Anderson, Jason","",""
"SUWS012071","Koch, Rudy G.","",""
"SUWS012072","Cherf"," Brashier",""
"SUWS012073","Munich, Robert A.","",""
"SUWS012074","Barnard"," Brashier",""
"SUWS012076","Brashier"," Gunderson",""
"SUWS012078","Thomson, John W., Jr.","",""
"SUWS012079","Koch, Rudy G.","",""
"SUWS012080","Castle, R.","",""
"SUWS012081","Castle, R.","",""
"SUWS012082","Brashier"," Romans",""
"SUWS012083","Brashier"," Romans",""
"SUWS012084","Brashier"," Gall",""
"SUWS012086","Clement, G. G.","",""
"SUWS012087","Castle, R.","",""
"SUWS012088","Thomson, John W., Jr.","",""
"SUWS012089","Brashier"," Romans",""
"SUWS012090","Bruederle, Leo P.","",""
"SUWS012091","Barnard"," Brashier",""
"SUWS012094","Castle, R.","",""
"SUWS012095","Hansen, Perky","",""
"SUWS012096","Anderson, Jason","",""
"SUWS012097","Munich, Robert A.","",""
"SUWS012098","Brashier"," Walvoord",""
"SUWS012099","Brashier"," Raatz",""
"SUWS012100","Koch, Rudy G.","",""
"SUWS012101","Davidson, Donald W."," Collins, Matt",""
"SUWS012102","Davidson, Donald W."," Collins, Matt",""
"SUWS012103","Olson, Patti","",""
"SUWS012106","Castle, R.","",""
"SUWS012107","Brashier"," Thoren",""
"SUWS012108","Younger, Patti"," Bruederle, Leo P.",""
"SUWS012109","Sima, Bessie R.","",""
"SUWS012110","Brashier"," Romans",""
"SUWS012111","Hjerleid"," Brashier",""
"SUWS012112","Thomson, John W., Jr.","",""
"SUWS012113","Thomson, John W., Jr.","",""
"SUWS012114","Castle, R.","",""
"SUWS012115","Brashier"," Romans",""
"SUWS012117","Romans"," Brashier",""
"SUWS012118","Castle, R.","",""
"SUWS012119","Thomson, John W., Jr.","",""
"SUWS012125","Thomson, John W., Jr.","",""
"SUWS012126","Brashier"," Romans",""
"SUWS012127","Brashier"," Smith",""
"SUWS012128","Brashier"," Wassgren",""
"SUWS012129","Brashier"," Romans",""
"SUWS012130","Brashier"," Romans",""
"SUWS012131","Ziegler, S. R."," Leykom, M. F.",""
"SUWS012132","Leitner, Lawrence A.","",""
"SUWS012133","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS012135","","",""
"SUWS012136","Tendrup, Lynn S."," Stackler, Susan",""
"SUWS012137","Collins"," Brashier",""
"SUWS012138","Holden"," Brashier",""
"SUWS012139","Thomson, John W., Jr.","",""
"SUWS012146","Thomson, John W., Jr.","",""
"SUWS012148","Thomson, John W., Jr.","",""
"SUWS012149","Romans"," Brashier",""
"SUWS012150","","",""
"SUWS012152","Koch, Rudy G.","",""
"SUWS012153","Konkel, Deborah","",""
"SUWS012154","Brashier"," Grage",""
"SUWS012161","Mackensen"," Brashier",""
"SUWS012163","Barnard"," Brashier",""
"SUWS012164","Smetak, Scott","",""
"SUWS012165","Gitar"," Rounce",""
"SUWS012166","Thomson, John W., Jr.","",""
"SUWS012167","Brashier"," Romans",""
"SUWS012168","Brashier"," Romans",""
"SUWS012169","Koch, Rudy G.","",""
"SUWS012170","Mendenhall, Paula M.","",""
"SUWS012171","Castle, R.","",""
"SUWS012172","Koch, Rudy G.","",""
"SUWS012173","Staupe, Jane","",""
"SUWS012174","Brashier"," Romans",""
"SUWS012175","Thomson, John W., Jr.","",""
"SUWS012176","Thomson, John W., Jr.","",""
"SUWS012177","Castle, R.","",""
"SUWS012178","Thomson, John W., Jr.","",""
"SUWS012179","Brashier"," Romans",""
"SUWS012180","Castle, R.","",""
"SUWS012181","Muller"," Brashier",""
"SUWS012182","Thomson, John W., Jr.","",""
"SUWS012183","Thomson, John W., Jr.","",""
"SUWS012184","Thomson, John W., Jr.","",""
"SUWS012185","Thomson, John W., Jr.","",""
"SUWS012186","Brashier"," Romans",""
"SUWS012191","Barnard"," Brashier",""
"SUWS012192","Cochrane, Theodore S.","",""
"SUWS012195","Brashier"," Romans",""
"SUWS012196","Brashier"," Romans",""
"SUWS012197","Hendrickson, Sue","",""
"SUWS012198","Castle, R.","",""
"SUWS012199","Castle, R.","",""
"SUWS012200","Castle, R.","",""
"SUWS012201","Thomson, John W., Jr.","",""
"SUWS012202","Hicks, James","",""
"SUWS012203","Younger, Patti"," Bruederle, Leo P.",""
"SUWS012204","Brashier"," Romans",""
"SUWS012205","Brashier"," Romans",""
"SUWS012206","Castle, R.","",""
"SUWS012207","Clements, Jimmy D.","",""
"SUWS012208","Mercedes","",""
"SUWS012210","Smetak, Scott","",""
"SUWS012212","Brashier"," Thoren",""
"SUWS012213","Brashier"," Romans",""
"SUWS012214","Mackensen"," Brashier",""
"SUWS012215","Cherf"," Brashier",""
"SUWS012216","Hjerleid"," Brashier",""
"SUWS012217","Collins"," Brashier",""
"SUWS012218","Cornell"," Brashier",""
"SUWS012219","Clements, Jimmy D.","",""
"SUWS012221","Holden"," Brashier",""
"SUWS012223","Cherf"," Brashier",""
"SUWS012224","Brashier"," Romans",""
"SUWS012225","Hjerleid"," Brashier",""
"SUWS012226","Sima, Bessie R.","",""
"SUWS012227","Brashier"," Thoren",""
"SUWS012228","Koch, Rudy G.","",""
"SUWS012239b","Munich, Robert A.","",""
"SUWS012240","Brashier"," Romans",""
"SUWS012242","Thomson, John W., Jr.","",""
"SUWS012245","Thomson, John W., Jr.","",""
"SUWS012247","Castle, R.","",""
"SUWS012248","Holden"," Brashier",""
"SUWS012249","Barnard"," Brashier",""
"SUWS012250","Collins"," Brashier",""
"SUWS012251","Thomson, John W., Jr.","",""
"SUWS012252","Hjerleid"," Brashier",""
"SUWS012253","Cornell","",""
"SUWS012254","Thomson, John W., Jr.","",""
"SUWS012255","Brashier"," Grage",""
"SUWS012256","Dabydeen, Simon","",""
"SUWS012257","Mackensen"," Brashier",""
"SUWS012258","Collins"," Brashier",""
"SUWS012259","Olson, Patti","",""
"SUWS012261","Collins"," Brashier",""
"SUWS012262","Castle, R.","",""
"SUWS012263","Thomson, John W., Jr.","",""
"SUWS012264","Cornell"," Brashier",""
"SUWS012265","Holden"," Brashier",""
"SUWS012266","Collins"," Brashier",""
"SUWS012270","Hansen, Perky","",""
"SUWS012271","Holden"," Brashier",""
"SUWS012272","Castle, R.","",""
"SUWS012273","Brost, Mike","",""
"SUWS012274","Brashier"," Romans",""
"SUWS012275","Cornell"," Brashier",""
"SUWS012276","Munich, Robert A.","",""
"SUWS012277","Mackensen"," Brashier",""
"SUWS012278","Staupe, Jane","",""
"SUWS012279","Hjerleid"," Brashier",""
"SUWS012281","Brashier"," Smith",""
"SUWS012282","Barnard"," Brashier",""
"SUWS012283","Bruederle, Leo P.","",""
"SUWS012284","Collins"," Brashier",""
"SUWS012285","Brashier"," Wassgren",""
"SUWS012286","Hjerleid"," Brashier",""
"SUWS012287","Mackensen"," Brashier",""
"SUWS012288","Cornell"," Brashier",""
"SUWS012289","Hjerleid"," Brashier",""
"SUWS012291","Thomson, John W., Jr.","",""
"SUWS012292","Hicks, James","",""
"SUWS012294","Sima, Bessie R.","",""
"SUWS012295","Collins"," Brashier",""
"SUWS012296","Hjerleid"," Brashier",""
"SUWS012297","Cornell"," Brashier",""
"SUWS012298","Castle, R.","",""
"SUWS012299","Thomson, John W., Jr.","",""
"SUWS012300","McGovern, Scott","",""
"SUWS012301","Bruederle, Leo P."," Clements, Jimmy",""
"SUWS012302","Sima, Bessie R.","",""
"SUWS012303","Shugar, Helen","",""
"SUWS012304","Brashier"," Romans",""
"SUWS012308","Thomson, John W., Jr."," Fassett, Norman C.",""
"SUWS012309","Thomson, John W., Jr.","",""
"SUWS012310","Castle, R.","",""
"SUWS012311","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS012313","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS012314","Thomson, John W., Jr.","",""
"SUWS012316","McDonald, Sue","",""
"SUWS012317","","",""
"SUWS012319","Castle, R.","",""
"SUWS012320","Brashier"," Romans",""
"SUWS012321","Koch, Rudy G.","",""
"SUWS012322","Koch, Rudy G.","",""
"SUWS012323","Brashier"," Walvoord",""
"SUWS012324","Brashier"," Thoren",""
"SUWS012325","Brashier"," Smith",""
"SUWS012326","Cornell"," Brashier",""
"SUWS012327","Thomson, John W., Jr.","",""
"SUWS012328","Thomson, John W., Jr.","",""
"SUWS012329","Collinson, Keith","",""
"SUWS012330","Holden"," Brashier",""
"SUWS012331","Cornell"," Brashier",""
"SUWS012334","Castle, R.","",""
"SUWS012335","Thomson, John W., Jr.","",""
"SUWS012336","Brashier"," Romans",""
"SUWS012337","Brashier"," Romans",""
"SUWS012338","Brashier"," Wassgren",""
"SUWS012339","Gunderson"," Brashier",""
"SUWS012340","Holden"," Brashier",""
"SUWS012341","Collins"," Brashier",""
"SUWS012342","Janowski"," Brashier",""
"SUWS012343","Sima, Bessie R.","",""
"SUWS012344","Olson, Patti","",""
"SUWS012345","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS012346","Thomson, John W., Jr.","",""
"SUWS012347","Cornell"," Brashier",""
"SUWS012348","Holden"," Brashier",""
"SUWS012349","Brashier"," Grage",""
"SUWS012350","Lahti, Duane","",""
"SUWS012351","Koch, Rudy G.","",""
"SUWS012352","Brashier"," Romans",""
"SUWS012353","Brashier"," Romans",""
"SUWS012356","Wasko, Walter","",""
"SUWS012357","Brashier"," Romans",""
"SUWS012358","Sima, Bessie R.","",""
"SUWS012359","Mendenhall, Paula M.","",""
"SUWS012360","Munich, Robert A.","",""
"SUWS012361","Koch, Rudy G.","",""
"SUWS012362","Thomson, John W., Jr.","",""
"SUWS012363","Holden"," Brashier",""
"SUWS012364","Collins"," Brashier",""
"SUWS012365","Collins"," Brashier",""
"SUWS012366","Collins"," Brashier",""
"SUWS012367","Hjerleid"," Brashier",""
"SUWS012368","Barnard"," Brashier",""
"SUWS012369","Brashier"," Romans",""
"SUWS012370","Brashier"," Cherf",""
"SUWS012371","Thoren"," Brashier",""
"SUWS012372","Cornell"," Brashier",""
"SUWS012373","Brashier"," Romans",""
"SUWS012380","Koch, Rudy G.","",""
"SUWS012381","Koch, Rudy G.","",""
"SUWS012382","Cornell"," Brashier",""
"SUWS012383","Thomson, John W., Jr.","",""
"SUWS012384","Smetak, Scott","",""
"SUWS012386","Thomson, John W., Jr.","",""
"SUWS012388","Olson, Patti","",""
"SUWS012389","Brashier"," Muller",""
"SUWS012390","Hein, Elizabeth","",""
"SUWS012391","Brashier"," Walvoord",""
"SUWS012392","Cornell"," Brashier",""
"SUWS012393","Brashier"," Valaskey",""
"SUWS012394","Shaw, Merton R.","",""
"SUWS012396","Heim, John A.","",""
"SUWS012397","Ojanen, Joanne M.","",""
"SUWS012398","Thomson, John W., Jr.","",""
"SUWS012399","Thomson, John W., Jr.","",""
"SUWS012405","Kovach, Suzan","",""
"SUWS012406","Gitar"," Rounce",""
"SUWS012407","Davidson, Donald W."," Collins, Matt",""
"SUWS012408","Thomson, John W., Jr.","",""
"SUWS012409","Thomson, John W., Jr.","",""
"SUWS012410","Thomson, John W., Jr.","",""
"SUWS012411","Brashier"," Romans",""
"SUWS012412","Castle, R.","",""
"SUWS012414","Thomson, John W., Jr.","",""
"SUWS012415","Thomson, John W., Jr.","",""
"SUWS012416","Munich, Robert A.","",""
"SUWS012417","Ojanen, Joanne M.","",""
"SUWS012418","Koch, Rudy G.","",""
"SUWS012419","Hansen, Perky","",""
"SUWS012421","Brashier"," Romans",""
"SUWS012422","Thomson, John W., Jr.","",""
"SUWS012423","Brashier"," Romans",""
"SUWS012424","Tendrup, Lynn S."," Stackler, Susan",""
"SUWS012425","Davis, J. D.","",""
"SUWS012426","Davis, J. D.","",""
"SUWS012428","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS012433","Thomson, John W., Jr."," Fassett, Norman C.",""
"SUWS012434","Castle, R.","",""
"SUWS012436","Tendrup, Lynn S."," Stackler, Susan",""
"SUWS012437","Thomson, John W., Jr."," Fassett, Norman C.",""
"SUWS012439","Thomson, John W., Jr.","",""
"SUWS012442","Cornell"," Brashier",""
"SUWS012443","Barnard"," Brashier",""
"SUWS012444","Thomson, John W., Jr.","",""
"SUWS012445","Thomson, John W., Jr.","",""
"SUWS012453","Last, Robert","",""
"SUWS012463","Thomson, John W., Jr.","",""
"SUWS012464","Thomson, John W., Jr.","",""
"SUWS012465","Thomson, John W., Jr.","",""
"SUWS012466","Thomson, John W., Jr.","",""
"SUWS012467","Thompson, Kathy L.","",""
"SUWS012468","Thomson, John W., Jr.","",""
"SUWS012469","Castle, R.","",""
"SUWS012470","Dabydeen, Simon","",""
"SUWS012472","Brashier"," Romans",""
"SUWS012474","Koch, Rudy G.","",""
"SUWS012479","Thomson, John W., Jr.","",""
"SUWS012480","Castle, R.","",""
"SUWS012481","Brashier"," Romans",""
"SUWS012482","Brashier"," Romans",""
"SUWS012483","Brashier"," Grage",""
"SUWS012484","Brashier"," Romans",""
"SUWS012485","Castle, R.","",""
"SUWS012486","Thomson, John W., Jr.","",""
"SUWS012487","Brashier"," Cherf",""
"SUWS012489","Olson, Patti","",""
"SUWS012490","Davidson, Donald W."," Collins, Matt",""
"SUWS012491","Davidson, Donald W."," Collins, Matt",""
"SUWS012492","Hansen, Perky","",""
"SUWS012493","Castle, R.","",""
"SUWS012495","Castle, R.","",""
"SUWS012502","Castle, R.","",""
"SUWS012503","Anderson, Jason","",""
"SUWS012504","Davidson, Donald W."," Collins, Matt",""
"SUWS012505","Brost, Mike","",""
"SUWS012506","Castle, R.","",""
"SUWS012507","Davidson, Donald W."," Collins, Matt",""
"SUWS012509","Hansen, Perky","",""
"SUWS012510","Longenecker, Jean","",""
"SUWS012511","Brashier"," Walvoord",""
"SUWS012512","Brashier"," Gunderson",""
"SUWS012513","Brashier"," Parrish",""
"SUWS012514","Heim, John A.","",""
"SUWS012516","Brashier"," Gall",""
"SUWS012517","Castle, R.","",""
"SUWS012520","Castle, R.","",""
"SUWS012521","Koch, Rudy G.","",""
"SUWS012522","Brashier"," Thoren",""
"SUWS012523","Thomson, John W., Jr.","",""
"SUWS012524","Ojanen, Joanne M.","",""
"SUWS012525","Heim, John A.","",""
"SUWS012526","Brashier"," Roatz",""
"SUWS012527","Brashier"," Valaskey",""
"SUWS012528","Brashier"," Romans",""
"SUWS012529","Brashier"," Cherf",""
"SUWS012530","Thomson, John W., Jr.","",""
"SUWS012533","Davidson, Donald W.","",""
"SUWS012534","Castle, R.","",""
"SUWS012535","Barnard"," Brashier",""
