Only_Coords_Specimens_CoordinateTableToPoint.OID,Only_Coords_Specimens_CoordinateTableToPoint.catalogNumber,Only_Coords_Specimens_CoordinateTableToPoint.class,Only_Coords_Specimens_CoordinateTableToPoint.order_,Only_Coords_Specimens_CoordinateTableToPoint.family,Only_Coords_Specimens_CoordinateTableToPoint.scientificName,Only_Coords_Specimens_CoordinateTableToPoint.taxonID,Only_Coords_Specimens_CoordinateTableToPoint.scientificNameAuthorship,Only_Coords_Specimens_CoordinateTableToPoint.genus,Only_Coords_Specimens_CoordinateTableToPoint.specificEpithet,Only_Coords_Specimens_CoordinateTableToPoint.infraspecificEpithet,Only_Coords_Specimens_CoordinateTableToPoint.taxonRank,Only_Coords_Specimens_CoordinateTableToPoint.identifiedBy,Only_Coords_Specimens_CoordinateTableToPoint.dateIdentified,Only_Coords_Specimens_CoordinateTableToPoint.collectedBy,Only_Coords_Specimens_CoordinateTableToPoint.recordNumber,Only_Coords_Specimens_CoordinateTableToPoint.eventDate,Only_Coords_Specimens_CoordinateTableToPoint.year,Only_Coords_Specimens_CoordinateTableToPoint.month,Only_Coords_Specimens_CoordinateTableToPoint.day,Only_Coords_Specimens_CoordinateTableToPoint.startDayOfYear,Only_Coords_Specimens_CoordinateTableToPoint.verbatimEventDate,Only_Coords_Specimens_CoordinateTableToPoint.occurrenceRemarks,Only_Coords_Specimens_CoordinateTableToPoint.habitat,Only_Coords_Specimens_CoordinateTableToPoint.informationWithheld,Only_Coords_Specimens_CoordinateTableToPoint.county,Only_Coords_Specimens_CoordinateTableToPoint.locality,Only_Coords_Specimens_CoordinateTableToPoint.decimalLatitude,Only_Coords_Specimens_CoordinateTableToPoint.decimalLongitude,Only_Coords_Specimens_CoordinateTableToPoint.geodeticDatum,Only_Coords_Specimens_CoordinateTableToPoint.coordinateUncertaintyInMeters,Only_Coords_Specimens_CoordinateTableToPoint.N_latitude,Only_Coords_Specimens_CoordinateTableToPoint.W_longitude,Only_Coords_Specimens_CoordinateTableToPoint.N_latitude_D,Only_Coords_Specimens_CoordinateTableToPoint.W_longitude_D,Only_Coords_Specimens_CoordinateTableToPoint.georeferenceProtocol,Only_Coords_Specimens_CoordinateTableToPoint.georeferenceSources,Only_Coords_Specimens_CoordinateTableToPoint.georeferenceRemarks,Only_Coords_Specimens_CoordinateTableToPoint.minimumElevationInMeters,Only_Coords_Specimens_CoordinateTableToPoint.verbatimElevation,Only_Coords_Specimens_CoordinateTableToPoint.month_fctr,Only_Coords_Specimens_CoordinateTableToPoint.recordedBy_og,Only_Coords_Specimens_CoordinateTableToPoint.coll_gr,Only_Coords_Specimens_CoordinateTableToPoint.DDLat,Only_Coords_Specimens_CoordinateTableToPoint.DDLon,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.OBJECTID,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.Join_Count,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.TARGET_FID,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.AREA,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.PERIMETER,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.TWPNW924_,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.TWPNW924_I,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.DTR,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.DIR,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.TWP,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.RNG,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.DIR_ALPHA
1664,SUWS011962,Equisetopsida,Rosales,Rosaceae,Potentilla norvegica,4649,L.,Potentilla,norvegica,,,"Cochrane, Theodore S.",Jan 1971,Brashier,s.n.,1964-07-24,1964,7,24,206,1964-07-24,,Mixed forest.,NA,Bayfield,Pigeon Lake Field Station,46.34228,-91.34901,NA,2257,46.342280 N, 91.349010 W,46.34228,-91.34901,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,Thoren; Brashier,Brashier,46.34228,-91.34901,1664,1,1664,92054397.66,38461.88047,97,96,24508,2,45,8,W
1665,SUWS011963,Equisetopsida,Rosales,Rosaceae,Potentilla norvegica,4649,L.,Potentilla,norvegica,,,"Cochrane, Theodore S.",Jan 1971,Parrish,PL-24,1964-07-01,1964,7,1,183,1964-07-01,,,NA,Bayfield,Pigeon Lake Field Station,46.34228,-91.34901,NA,2257,46.342280 N, 91.349010 W,46.34228,-91.34901,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,Brashier; Parrish,Other Collectors,46.34228,-91.34901,1665,1,1665,92054397.66,38461.88047,97,96,24508,2,45,8,W
1666,SUWS011969,Equisetopsida,Rosales,Rosaceae,Comarum palustre,3181,L.,Comarum,palustre,,,"Cochrane, Theodore S.",Feb-72,Brashier,s.n.,1966-07-03,1966,7,3,184,1966-07-03,,Unstable bog between lake and woods.,NA,Bayfield,S of Lake Drummond,46.29563,-91.25934,NA,4707,46.295630 N, 91.259340 W,46.29563,-91.25934,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,Holden; Brashier,Brashier,46.29563,-91.25934,1666,1,1666,92875669.31,38567.01091,116,115,24407,2,44,7,W
1667,SUWS011970,Equisetopsida,Rosales,Rosaceae,Comarum palustre,3181,L.,Comarum,palustre,,,"Cochrane, Theodore S.",Feb-72,Brashier,s.n.,1966-07-05,1966,7,5,186,1966-07-05,,Low marshy area.,NA,Bayfield,Drummond. 2.3 miles E of Drummond on Rd. 213,46.30381,-91.22587,NA,2112,46.303810 N, 91.225870 W,46.30381,-91.22587,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,Cornell; Brashier,Brashier,46.30381,-91.22587,1667,1,1667,92875669.31,38567.01091,116,115,24407,2,44,7,W
1668,SUWS011973,Equisetopsida,Rosales,Rosaceae,Comarum palustre,3181,L.,Comarum,palustre,,,"Cochrane, Theodore S.",Feb-72,Romans,235a,1964-07-09,1964,7,9,191,1964-07-09,,Very wet bog.,NA,Bayfield,Across from Lake Drummond,46.34353,-91.26174,NA,3707,46.343530 N, 91.261740 W,46.34353,-91.26174,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,Brashier; Romans,Romans,46.34353,-91.26174,1668,1,1668,92482175.4,38459.07192,98,97,24507,2,45,7,W
1669,SUWS011975,Equisetopsida,Rosales,Rosaceae,Potentilla recta,4650,L.,Potentilla,recta,,,"Cochrane, Theodore S.",Jan 1971,Brashier,s.n.,1966-07-04,1966,7,4,185,1966-07-04,,"Soil loose, glacial till, cover low grasses and herbs.",NA,Bayfield,7 miles S of Drummond on U.S. Hwy 63 [W of Price Lake],46.23555,-91.25797,NA,1791,46.235550 N, 91.257970 W,46.23555,-91.25797,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,Cornell; Brashier,Brashier,46.23555,-91.25797,1669,1,1669,92243422.14,38490.94688,138,137,24307,2,43,7,W
1670,SUWS011979,Equisetopsida,Rosales,Rosaceae,Sibbaldiopsis tridentata,5038,(Aiton) Rydb.,Sibbaldiopsis,tridentata,,,"Cochrane, Theodore S.",Jan 1971,Brashier,s.n.,1966-07-22,1966,7,22,203,1966-07-22,,Sandy.,NA,Eau Claire,Eau Claire. Midway Shopping Center,44.72812,-91.28547,NA,32588,44.728120 N, 91.285470 W,44.72812,-91.28547,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,Barnard; Brashier,Brashier,44.72812,-91.28547,1670,1,1670,93342338.77,38625.93595,860,859,22607,2,26,7,W
1671,SUWS011985,Equisetopsida,Rosales,Rosaceae,Sibbaldiopsis tridentata,5038,(Aiton) Rydb.,Sibbaldiopsis,tridentata,,,"Cochrane, Theodore S.",Jan 1971,Brashier,s.n.,1966-07-21,1966,7,21,202,1966-07-21,,"Roadside, dry gravel, edge of woods.",NA,Bayfield,Cty. Hwy 228 0.5 mile N of Pigeon Lake,46.34952,-91.34901,NA,2257,46.349520 N, 91.349010 W,46.34952,-91.34901,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,Holden; Brashier,Brashier,46.34952,-91.34901,1671,1,1671,92054397.66,38461.88047,97,96,24508,2,45,8,W
1672,SUWS011993,Equisetopsida,Rosales,Rosaceae,Potentilla simplex,4652,Michx.,Potentilla,simplex,,,"Cochrane, Theodore S.",Jan 1971,Brashier,s.n.,1964-07-20,1964,7,20,202,1964-07-20,,Near sandy lakeshore.,NA,Bayfield,Pigeon Lake Field Station,46.34228,-91.34901,NA,2257,46.342280 N, 91.349010 W,46.34228,-91.34901,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,Cherf; Brashier,Brashier,46.34228,-91.34901,1672,1,1672,92054397.66,38461.88047,97,96,24508,2,45,8,W
1673,SUWS011994,Equisetopsida,Rosales,Rosaceae,Potentilla simplex,4652,Michx.,Potentilla,simplex,,,"Cochrane, Theodore S.",Jan 1971,Romans,154c,1964-06-01,1964,6,1,153,1964-06-01,,"Dry, sandy, open roadside area.",NA,Burnett,"Danbury. 3 miles S of Danbury, near jct. of old 35 Rd and Wisconsin State Hwy 35",45.96741,-92.36349,NA,150,45.967410 N, 92.363490 W,45.96741,-92.36349,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,Brashier; Romans,Romans,45.96741,-92.36349,1673,1,1673,84941706.54,36866.00186,219,218,24016,2,40,16,W
1674,SUWS012007,Equisetopsida,Rosales,Rosaceae,Prunus pensylvanica,4690,L.f.,Prunus,pensylvanica,,,"Cochrane, Theodore S.",Mar 1972,Walvoord,PL-195,1964-07-23,1964,7,23,205,1964-07-23,,,NA,Bayfield,Pigeon Lake Field Station,46.34228,-91.34901,NA,2257,46.342280 N, 91.349010 W,46.34228,-91.34901,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,Brashier; Walvoord,Other Collectors,46.34228,-91.34901,1674,1,1674,92054397.66,38461.88047,97,96,24508,2,45,8,W
1675,SUWS012012,Equisetopsida,Rosales,Rosaceae,Prunus pensylvanica,4690,L.f.,Prunus,pensylvanica,,,"Cochrane, Theodore S.",Mar 1972,Gall,PL-196,1964-07-25,1964,7,25,207,1964-07-25,,,NA,Bayfield,Pigeon Lake Field Station,46.34228,-91.34901,NA,2257,46.342280 N, 91.349010 W,46.34228,-91.34901,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,Brashier; Gall,Other Collectors,46.34228,-91.34901,1675,1,1675,92054397.66,38461.88047,97,96,24508,2,45,8,W
1676,SUWS012013,Equisetopsida,Rosales,Rosaceae,Prunus pensylvanica,4690,L.f.,Prunus,pensylvanica,,,"Cochrane, Theodore S.",Mar 1972,Janowski,PL-197,1964-07-23,1964,7,23,205,1964-07-23,,,NA,Bayfield,Pigeon Lake Field Station,46.34228,-91.34901,NA,2257,46.342280 N, 91.349010 W,46.34228,-91.34901,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,Brashier; Janowski,Other Collectors,46.34228,-91.34901,1676,1,1676,92054397.66,38461.88047,97,96,24508,2,45,8,W
1677,SUWS012014,Equisetopsida,Rosales,Rosaceae,Prunus pensylvanica,4690,L.f.,Prunus,pensylvanica,,,"Cochrane, Theodore S.",Mar 1972,Romans,s.n.,1965-06-07,1965,6,7,158,1965-06-07,,Very sandy area in gravel pit.,NA,Douglas,Foxboro. Bethlehem Lutheran Church gravel pit,46.46411,-91.8994,NA,45399,46.464110 N, 91.899400 W,46.46411,-91.8994,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,Brashier; Romans,Romans,46.46411,-91.8994,1677,1,1677,92569109.44,38495.82171,75,74,24612,2,46,12,W
1678,SUWS012026,Equisetopsida,Rosales,Rosaceae,Prunus serotina var. serotina,13243,Ehrh.,Prunus,serotina,serotina,var.,"Cochrane, Theodore S.",Mar 1972,Romans,64b,1964-06-05,1964,6,5,157,1964-06-05,,Sandy loam soil in picnic area.,NA,Marinette,"Niagara. Ca. 5 miles S of Niagara [Labeled Oconto Co. But town is in Marinette], in roadside picnic area on east side of U.S. Hwy 141",45.69895,-87.99485,NA,3201,45.698950 N, 87.994850 W,45.69895,-87.99485,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,Brashier; Romans,Romans,45.69895,-87.99485,1678,1,1678,90761517.5,38162.23006,369,368,43720,4,37,20,E
1679,SUWS012027,Equisetopsida,Rosales,Rosaceae,Prunus serotina var. serotina,13243,Ehrh.,Prunus,serotina,serotina,var.,"Cochrane, Theodore S.",Mar 1972,Gall,PL-192,1964-07-25,1964,7,25,207,1964-07-25,,,NA,Bayfield,Pigeon Lake Field Station,46.34228,-91.34901,NA,2257,46.342280 N, 91.349010 W,46.34228,-91.34901,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,Brashier; Gall,Other Collectors,46.34228,-91.34901,1679,1,1679,92054397.66,38461.88047,97,96,24508,2,45,8,W
1680,SUWS012029,Equisetopsida,Rosales,Rosaceae,Prunus serotina var. serotina,13243,Ehrh.,Prunus,serotina,serotina,var.,"Cochrane, Theodore S.",Mar 1972,Janowski,PL-190,1964-07-20,1964,7,20,202,1964-07-20,,,NA,Bayfield,Pigeon Lake Field Station,46.34228,-91.34901,NA,2257,46.342280 N, 91.349010 W,46.34228,-91.34901,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,Brashier; Janowski,Other Collectors,46.34228,-91.34901,1680,1,1680,92054397.66,38461.88047,97,96,24508,2,45,8,W
1681,SUWS012031,Equisetopsida,Rosales,Rosaceae,Prunus serotina var. serotina,13243,Ehrh.,Prunus,serotina,serotina,var.,"Cochrane, Theodore S.",Mar 1972,Walvoord,PL-191,1964-07-23,1964,7,23,205,1964-07-23,,,NA,Bayfield,Pigeon Lake Field Station,46.34228,-91.34901,NA,2257,46.342280 N, 91.349010 W,46.34228,-91.34901,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,Brashier; Walvoord,Other Collectors,46.34228,-91.34901,1681,1,1681,92054397.66,38461.88047,97,96,24508,2,45,8,W
1682,SUWS012032,Equisetopsida,Rosales,Rosaceae,Prunus virginiana var. virginiana,6816,,Prunus,virginiana,virginiana,var.,"Cochrane, Theodore S.",Mar 1972,Romans,274a,1964-06-01,1964,6,1,153,1964-06-01,,"In woods adjacent to road in sandy soil. [Based upon other specimens by the collectors at this site, date is estimated 6/1/64]",NA,Burnett,Danbury. 3 miles S of Danbury at jct. of Old 35 Rd and State Hwy 35 [The town is spelled incorrectly on the label],45.96741,-92.36349,NA,150,45.967410 N, 92.363490 W,45.96741,-92.36349,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,Brashier; Romans,Romans,45.96741,-92.36349,1682,1,1682,84941706.54,36866.00186,219,218,24016,2,40,16,W
1683,SUWS012037,Equisetopsida,Rosales,Rosaceae,Prunus virginiana var. virginiana,6816,,Prunus,virginiana,virginiana,var.,"Cochrane, Theodore S.",Mar 1972,Gall,PL-189b,1964-07-25,1964,7,25,207,1964-07-25,,,NA,Bayfield,Pigeon Lake Field Station,46.34228,-91.34901,NA,2257,46.342280 N, 91.349010 W,46.34228,-91.34901,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,Brashier; Gall,Other Collectors,46.34228,-91.34901,1683,1,1683,92054397.66,38461.88047,97,96,24508,2,45,8,W
1684,SUWS012047,Equisetopsida,Rosales,Rosaceae,Rosa,1227,L.,Rosa,,,,,,"Smith, C. W.",5119,1942-07-18,1942,7,18,199,1942-07-18,,,NA,Douglas,Superior. On Sand Island in Superior Bay,46.73216,-92.0663,NA,5192,46.732160 N, 92.066300 W,46.73216,-92.0663,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,"Thomson, John W., Jr.; Smith, C. W.",Other Collectors,46.73216,-92.0663,1684,1,1684,77718721.67,35378.21444,29,28,24914,2,49,14,W
1685,SUWS012058,Equisetopsida,Rosales,Rosaceae,Rosa carolina subsp. carolina,13272,L.,Rosa,carolina,carolina,subsp.,,,Brashier,s.n.,1966-07-24,1966,7,24,205,1966-07-24,,Roadside.,NA,Bayfield,Drummond. S of Drummond 3 miles on Hwy 63,46.3011,-91.28063,NA,1346,46.301100 N, 91.280630 W,46.3011,-91.28063,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,Hjerleid; Brashier,Brashier,46.3011,-91.28063,1685,1,1685,92875669.31,38567.01091,116,115,24407,2,44,7,W
1686,SUWS012059,Equisetopsida,Rosales,Rosaceae,Rosa carolina subsp. carolina,13272,L.,Rosa,carolina,carolina,subsp.,,,Brashier,s.n.,1964-07-12,1964,7,12,194,1964-07-12,,Roadside area.,NA,Bayfield,Cable,46.20801,-91.29213,NA,3036,46.208010 N, 91.292130 W,46.20801,-91.29213,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,Valaskey; Brashier,Brashier,46.20801,-91.29213,1686,1,1686,92243422.14,38490.94688,138,137,24307,2,43,7,W
1687,SUWS012072,Equisetopsida,Rosales,Rosaceae,Rubus idaeus var. strigosus,13285,(Michx.) Maxim.,Rubus,idaeus,strigosus,var.,,,Brashier,s.n.,1964-07-10,1964,7,10,192,1964-07-10,,Along trail.,NA,Bayfield,Pigeon Lake Field Station,46.34228,-91.34901,NA,2257,46.342280 N, 91.349010 W,46.34228,-91.34901,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,Cherf; Brashier,Brashier,46.34228,-91.34901,1687,1,1687,92054397.66,38461.88047,97,96,24508,2,45,8,W
1688,SUWS012074,Equisetopsida,Rosales,Rosaceae,Rubus idaeus var. strigosus,13285,(Michx.) Maxim.,Rubus,idaeus,strigosus,var.,,,Brashier,s.n.,1966-07-28,1966,7,28,209,1966-07-28,,Sandy area.,NA,Bayfield,Drummond,46.33689,-91.25797,NA,6377,46.336890 N, 91.257970 W,46.33689,-91.25797,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,Barnard; Brashier,Brashier,46.33689,-91.25797,1688,1,1688,92482175.4,38459.07192,98,97,24507,2,45,7,W
1689,SUWS012076,Equisetopsida,Rosales,Rosaceae,Rubus occidentalis,4881,L.,Rubus,occidentalis,,,,,Gunderson,PL-83,1964-06-23,1964,6,23,175,1964-06-23,,Open area.,NA,Bayfield,Pigeon Lake Field Station,46.34228,-91.34901,NA,2257,46.342280 N, 91.349010 W,46.34228,-91.34901,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,Brashier; Gunderson,Other Collectors,46.34228,-91.34901,1689,1,1689,92054397.66,38461.88047,97,96,24508,2,45,8,W
1690,SUWS012082,Equisetopsida,Rosales,Rosaceae,Rubus parviflorus,4884,Nutt.,Rubus,parviflorus,,,,,Romans,39b,1964-06-06,1964,6,6,158,1964-06-06,,Shady area bordering road.,NA,Bayfield,Cornucopia. 1 block W of Cornucopia on Hwy 13,46.85382,-91.1276,NA,1867,46.853820 N, 91.127600 W,46.85382,-91.1276,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,Brashier; Romans,Romans,46.85382,-91.1276,1690,1,1690,45278788.06,28565.64686,18,17,25106,2,51,6,W
1691,SUWS012084,Equisetopsida,Rosales,Rosaceae,Rubus parviflorus,4884,Nutt.,Rubus,parviflorus,,,,,Gall,PL-84,1965-06-25,1965,6,25,176,1965-06-25,,Along trail.,NA,Bayfield,Pigeon Lake Field Station,46.34228,-91.34901,NA,2257,46.342280 N, 91.349010 W,46.34228,-91.34901,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,Brashier; Gall,Other Collectors,46.34228,-91.34901,1691,1,1691,92054397.66,38461.88047,97,96,24508,2,45,8,W
1692,SUWS012089,Equisetopsida,Rosales,Rosaceae,Rubus pubescens,4887,Raf.,Rubus,pubescens,,,,,Romans,198a,1964-06-20,1964,6,20,172,1964-06-20,,"In rich woods, shade.",NA,Douglas,Superior. 3 miles S of Superior on State Hwy 35 on the Ralph Law property,46.65497,-92.10442,NA,4161,46.654970 N, 92.104420 W,46.65497,-92.10442,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,Brashier; Romans,Romans,46.65497,-92.10442,1692,1,1692,93354961.12,38691.86308,41,40,24814,2,48,14,W
1693,SUWS012091,Equisetopsida,Rosales,Rosaceae,Rubus pubescens,4887,Raf.,Rubus,pubescens,,,,,Brashier,s.n.,1966-06-28,1966,6,28,179,1966-06-28,,Sandy area.,NA,Bayfield,Pigeon Lake,46.34228,-91.34901,NA,2257,46.342280 N, 91.349010 W,46.34228,-91.34901,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,Barnard; Brashier,Brashier,46.34228,-91.34901,1693,1,1693,92054397.66,38461.88047,97,96,24508,2,45,8,W
1694,SUWS012111,Equisetopsida,Rosales,Rosaceae,Spiraea alba var. alba,6888,,Spiraea,alba,alba,var.,"Cochrane, Theodore S.",5/1972,Brashier,s.n.,1966-07-23,1966,7,23,204,1966-07-23,,Roadside drainage area.,NA,Bayfield,NW side of Pigeon Lake,46.34228,-91.34901,NA,2257,46.342280 N, 91.349010 W,46.34228,-91.34901,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,Hjerleid; Brashier,Brashier,46.34228,-91.34901,1694,1,1694,92054397.66,38461.88047,97,96,24508,2,45,8,W
1695,SUWS012115,Equisetopsida,Rosales,Rosaceae,Spiraea tomentosa var. rosea,6889,(Raf.) Fernald,Spiraea,tomentosa,rosea,var.,"Cochrane, Theodore S.",5/1972,Romans,173e,1964-08-04,1964,8,4,217,1964-08-04,,"Very wet area around perimeter of loating bog. [TSC Determination is not labeled, but same handwriting and stamp of 'Mapped 1972 Flora of WI' as other specimens determined by TSC]",NA,Burnett,Danbury. 5 miles S of Danbury on State Hwy 35,45.93422,-92.36169,NA,NA,45.934220 N, 92.361690 W,45.93422,-92.36169,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,August,Brashier; Romans,Romans,45.93422,-92.36169,1695,1,1695,84941706.54,36866.00186,219,218,24016,2,40,16,W
1696,SUWS012130,Equisetopsida,Fabales,Fabaceae,Amorpha fruticosa,2515,L.,Amorpha,fruticosa,,,,,Romans,2a,1964-06-03,1964,6,3,155,1964-06-03,,Sandy roadside area along river.,NA,Buffalo,"Alma. 0.5 mile S of Alma on State Hwy 35, E bank of Mississippi River",44.31315,-91.91094,NA,150,44.313150 N, 91.910940 W,44.31315,-91.91094,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,Brashier; Romans,Romans,44.31315,-91.91094,1696,1,1696,12998650.93,20945.40218,1056,1055,22113,2,21,13,W
1697,SUWS012137,Equisetopsida,Fabales,Fabaceae,Astragalus canadensis var. canadensis,6514,,Astragalus,canadensis,canadensis,var.,,,Brashier,s.n.,1966-07-11,1966,7,11,192,1966-07-11,,Roadside.,NA,Bayfield,Pigeon Lake Forest Trail,46.34228,-91.34901,NA,2257,46.342280 N, 91.349010 W,46.34228,-91.34901,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,Collins; Brashier,Brashier,46.34228,-91.34901,1697,1,1697,92054397.66,38461.88047,97,96,24508,2,45,8,W
1698,SUWS012138,Equisetopsida,Fabales,Fabaceae,Astragalus canadensis var. canadensis,6514,,Astragalus,canadensis,canadensis,var.,"Cochrane, Theodore S.",3/1972,Brashier,s.n.,1966-07-09,1966,7,9,190,1966-07-09,,Sandy and grassy beach.,NA,Bayfield,Shore of Pigeon Lake,46.34228,-91.34901,NA,2257,46.342280 N, 91.349010 W,46.34228,-91.34901,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,Holden; Brashier,Brashier,46.34228,-91.34901,1698,1,1698,92054397.66,38461.88047,97,96,24508,2,45,8,W
1699,SUWS012154,Equisetopsida,Fabales,Fabaceae,Desmodium canadense,3367,(L.) DC.,Desmodium,canadense,,,"Cochrane, Theodore S.",3/1972,Grage,PL-98,1964-07-06,1964,7,6,188,1964-07-06,,"Gravel shore, north edge of lake.",NA,Bayfield,Pigeon Lake Field Station,46.34228,-91.34901,NA,2257,46.342280 N, 91.349010 W,46.34228,-91.34901,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,Brashier; Grage,Other Collectors,46.34228,-91.34901,1699,1,1699,92054397.66,38461.88047,97,96,24508,2,45,8,W
1700,SUWS012163,Equisetopsida,Fabales,Fabaceae,Lathyrus japonicus var. maritimus,6715,(L.) Kartesz & Gandhi,Lathyrus,japonicus,maritimus,var.,"Cochrane, Theodore S.",3/1972,Brashier,s.n.,1966-07-18,1966,7,18,199,1966-07-18,,Sandy beach.,NA,Ashland,Rocky Island. Part of the Apostle Island group [Bayfield Co. - original in error],46.93827,-90.65296,NA,32069,46.938270 N, 90.652960 W,46.93827,-90.65296,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,Barnard; Brashier,Brashier,46.93827,-90.65296,1700,1,1700,106551216.4,41047.61986,10,9,25202,2,52,2,W
1701,SUWS012167,Equisetopsida,Fabales,Fabaceae,Lathyrus japonicus var. maritimus,6715,(L.) Kartesz & Gandhi,Lathyrus,japonicus,maritimus,var.,"Cochrane, Theodore S.",3/1972,Romans,111a,1964-08-26,1964,8,26,239,1964-08-26,,Sandy beach on shore of lake.,NA,Douglas,Superior,46.68122,-92.06631,NA,12939,46.681220 N, 92.066310 W,46.68122,-92.06631,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,August,Brashier; Romans,Romans,46.68122,-92.06631,1701,1,1701,77718721.67,35378.21444,29,28,24914,2,49,14,W
1702,SUWS012174,Equisetopsida,Fabales,Fabaceae,Lathyrus ochroleucus,4018,Hook.,Lathyrus,ochroleucus,,,"Cochrane, Theodore S.",3/1972,Romans,89a,1964-06-01,1964,6,1,153,1964-06-01,,"Between road and adjacent woods in open, sandy ditch with grasses.",NA,Burnett,Danbury. 3 miles S of Danbury at the jct. of Old 35 Road and State Hwy 35,45.96741,-92.36349,NA,150,45.967410 N, 92.363490 W,45.96741,-92.36349,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,Brashier; Romans,Romans,45.96741,-92.36349,1702,1,1702,84941706.54,36866.00186,219,218,24016,2,40,16,W
1703,SUWS012181,Equisetopsida,Fabales,Fabaceae,Lathyrus venosus,4024,Muhl. ex Willd.,Lathyrus,venosus,,,"Cochrane, Theodore S.",3/1972,Brashier,s.n.,1964-06-25,1964,6,25,177,1964-06-25,,Woods near lake.,NA,Bayfield,Pigeon Lake Field Station,46.34228,-91.34901,NA,2257,46.342280 N, 91.349010 W,46.34228,-91.34901,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,Muller; Brashier,Brashier,46.34228,-91.34901,1703,1,1703,92054397.66,38461.88047,97,96,24508,2,45,8,W
1704,SUWS012186,Equisetopsida,Fabales,Fabaceae,Lathyrus venosus,4024,Muhl. ex Willd.,Lathyrus,venosus,,,"Cochrane, Theodore S.",3/1972,Romans,88b,1964-06-02,1964,6,2,154,1964-06-02,,Between shady creek bottom near a railroad embankment in open sunlight.,NA,Pierce,East Ellsworth. 2 miles N of East Ellsworth on Hwy 35 near railroad trestle,44.76115,-92.48741,NA,400,44.761150 N, 92.487410 W,44.76115,-92.48741,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,Brashier; Romans,Romans,44.76115,-92.48741,1704,1,1704,92925383.85,38580.61709,841,840,22617,2,26,17,W
