"catalogNumber","county","recordedBy_primary","recordedBy_secondary","recordedBy_tertiary"
"SUWS013316","Douglas","Neely, Chuck","",""
"SUWS013318","Douglas","Neely, Chuck","",""
"SUWS013319","Douglas","Neely, Chuck","",""
"SUWS013323","Douglas","Neely, Chuck","",""
"SUWS013324","Douglas","Neely, Chuck","",""
"SUWS013325","Douglas","Neely, Chuck","",""
"SUWS013326","Douglas","Neely, Chuck","",""
"SUWS013327","Douglas","Neely, Chuck","",""
"SUWS013328","Douglas","Neely, Chuck","",""
"SUWS013332","Douglas","Stangle, Daniel C.","",""
"SUWS013337","Douglas","Stangle, Daniel C.","",""
"SUWS013340","Douglas","Stangle, Daniel C.","",""
"SUWS013341","Douglas","Stangle, Daniel C.","",""
"SUWS013345","Douglas","Stangle, Daniel C.","",""
"SUWS013346","Douglas","Stangle, Daniel C.","",""
"SUWS013347","Douglas","Stangle, Daniel C.","",""
"SUWS013350","Douglas","Stangle, Daniel C.","",""
"SUWS013351","Douglas","Stangle, Daniel C.","",""
"SUWS013354","Douglas","Stangle, Daniel C.","",""
"SUWS013355","Douglas","Stangle, Daniel C.","",""
"SUWS013356","Douglas","Stangle, Daniel C.","",""
"SUWS013357","Douglas","Stangle, Daniel C.","",""
"SUWS013358","Douglas","Stangle, Daniel C.","",""
"SUWS013360","Douglas","Stangle, Daniel C.","",""
"SUWS013361","Douglas","Stangle, Daniel C.","",""
"SUWS013363","Douglas","Stangle, Daniel C.","",""
"SUWS013364","Douglas","Stangle, Daniel C.","",""
"SUWS013365","Douglas","Stangle, Daniel C.","",""
"SUWS013366","Douglas","Stangle, Daniel C.","",""
"SUWS013368","Douglas","Stangle, Daniel C.","",""
"SUWS013369","Douglas","Weinandt, Michael J.","",""
"SUWS013370","Douglas","Weinandt, Michael J.","",""
"SUWS013371","Douglas","Weinandt, Michael J.","",""
"SUWS013372","Douglas","Weinandt, Michael J.","",""
"SUWS013373","Douglas","Weinandt, Michael J.","",""
"SUWS013374","Douglas","Weinandt, Michael J.","",""
"SUWS013375","Douglas","Weinandt, Michael J.","",""
"SUWS013376","Douglas","Weinandt, Michael J.","",""
"SUWS013377","Douglas","Weinandt, Michael J.","",""
"SUWS013378","Douglas","Weinandt, Michael J.","",""
"SUWS013379","Douglas","Weinandt, Michael J.","",""
"SUWS013380","Douglas","Weinandt, Michael J.","",""
"SUWS013381","Douglas","Weinandt, Michael J.","",""
"SUWS013382","Douglas","Weinandt, Michael J.","",""
"SUWS013383","Douglas","Weinandt, Michael J.","",""
"SUWS013384","Douglas","Weinandt, Michael J.","",""
"SUWS013385","Douglas","Weinandt, Michael J.","",""
"SUWS013386","Douglas","Weinandt, Michael J.","",""
"SUWS013387","Douglas","Weinandt, Michael J.","",""
"SUWS013388","Douglas","Weinandt, Michael J.","",""
"SUWS013389","Douglas","Weinandt, Michael J.","",""
"SUWS013390","Douglas","Weinandt, Michael J.","",""
"SUWS013391","Douglas","Weinandt, Michael J.","",""
"SUWS013392","Douglas","Weinandt, Michael J.","",""
"SUWS013393","Douglas","Weinandt, Michael J.","",""
"SUWS013394","Douglas","Weinandt, Michael J.","",""
"SUWS013395","Douglas","Weinandt, Michael J.","",""
"SUWS013396","Douglas","Weinandt, Michael J.","",""
"SUWS013397","Douglas","Weinandt, Michael J.","",""
"SUWS013398","Douglas","Weinandt, Michael J.","",""
"SUWS013399","Douglas","Weinandt, Michael J.","",""
"SUWS013400","Douglas","Weinandt, Michael J.","",""
"SUWS013401","Douglas","Weinandt, Michael J.","",""
"SUWS013402","Douglas","Weinandt, Michael J.","",""
"SUWS013404","Douglas","Weinandt, Michael J.","",""
"SUWS013405","Douglas","Weinandt, Michael J.","",""
"SUWS013406","Douglas","Weinandt, Michael J.","",""
"SUWS013407","Douglas","Weinandt, Michael J.","",""
"SUWS013408","Douglas","Weinandt, Michael J.","",""
"SUWS013409","Douglas","Weinandt, Michael J.","",""
"SUWS013412","Douglas","Langenbrunner, Craig S.","",""
"SUWS013413","Douglas","Langenbrunner, Craig S.","",""
"SUWS013417","Douglas","Langenbrunner, Craig S.","",""
"SUWS013421","Douglas","Langenbrunner, Craig S.","",""
"SUWS013423","Douglas","Langenbrunner, Craig S.","",""
"SUWS013424","Douglas","Langenbrunner, Craig S.","",""
"SUWS013427","Douglas","Langenbrunner, Craig S.","",""
"SUWS013428","Douglas","Langenbrunner, Craig S.","",""
"SUWS013430","Douglas","Langenbrunner, Craig S.","",""
"SUWS013431","Douglas","Langenbrunner, Craig S.","",""
"SUWS013433","Douglas","Langenbrunner, Craig S.","",""
"SUWS013436","Douglas","Langenbrunner, Craig S.","",""
"SUWS013441","Douglas","Watten, Joshua","",""
"SUWS013442","Douglas","Watten, Joshua","",""
"SUWS013443","Douglas","Watten, Joshua","",""
"SUWS013444","Douglas","Watten, Joshua","",""
"SUWS013445","Douglas","Watten, Joshua","",""
"SUWS013447","Douglas","Watten, Joshua","",""
"SUWS013448","Douglas","Watten, Joshua","",""
"SUWS013449","Douglas","Watten, Joshua","",""
"SUWS013450","Douglas","Watten, Joshua","",""
"SUWS013451","Douglas","Eisenmann, Sarah","",""
"SUWS013452","Douglas","Eisenmann, Sarah","",""
"SUWS013465","Douglas","Koch, Rudy G.","",""
"SUWS013543","Douglas","Behn, T.","",""
"SUWS013544","Oneida","Behn, T.","",""
"SUWS013545","Oneida","Behn, T.","",""
"SUWS013546","Oneida","Behn, T.","",""
"SUWS013548","Oneida","Behn, T.","",""
"SUWS013550","Oneida","Behn, T.","",""
"SUWS013551","Oneida","Behn, T.","",""
"SUWS013552","Douglas","Behn, T.","",""
"SUWS013553","Douglas","Behn, T.","",""
"SUWS013554","Douglas","Behn, T.","",""
"SUWS013555","Douglas","Behn, T.","",""
"SUWS013556","Douglas","Behn, T.","",""
"SUWS013557","Douglas","Behn, T.","",""
"SUWS013558","Douglas","Behn, T.","",""
"SUWS013559","Douglas","Behn, T.","",""
"SUWS013560","Douglas","Behn, T.","",""
"SUWS013561","Douglas","Behn, T.","",""
"SUWS013562","Douglas","Behn, T.","",""
"SUWS013563","Douglas","Behn, T.","",""
"SUWS013564","Douglas","Behn, T.","",""
"SUWS013565","Douglas","Behn, T.","",""
"SUWS013566","Douglas","Behn, T.","",""
"SUWS013567","Douglas","Behn, T.","",""
"SUWS013568","Douglas","Behn, T.","",""
"SUWS013569","Douglas","Behn, T.","",""
"SUWS013570","Douglas","Behn, T.","",""
"SUWS013571","Douglas","Behn, T.","",""
"SUWS013572","Douglas","Behn, T.","",""
"SUWS013573","Douglas","Behn, T.","",""
"SUWS013574","Douglas","Behn, T.","",""
"SUWS013575","Douglas","Behn, T.","",""
"SUWS013576","Douglas","Behn, T.","",""
"SUWS013577","Douglas","Behn, T.","",""
"SUWS013578","Douglas","Behn, T.","",""
"SUWS013579","Burnett","Behn, T.","",""
"SUWS013580","Douglas","Behn, T.","",""
"SUWS013581","Douglas","Behn, T.","",""
"SUWS013582","Douglas","Behn, T.","",""
"SUWS013583","Douglas","Behn, T.","",""
"SUWS013584","Douglas","Behn, T.","",""
"SUWS013745","Douglas","Juve, Karla","",""
"SUWS013746","Douglas","Juve, Karla","",""
"SUWS013747","Douglas","Juve, Karla","",""
"SUWS013748","Douglas","Juve, Karla","",""
"SUWS013749","Douglas","Juve, Karla","",""
"SUWS013750","Douglas","Juve, Karla","",""
"SUWS013751","Douglas","Juve, Karla","",""
"SUWS013752","Douglas","Juve, Karla","",""
"SUWS013753","Douglas","Juve, Karla","",""
"SUWS013754","Douglas","Juve, Karla","",""
"SUWS013755","Douglas","Juve, Karla","",""
"SUWS013756","Douglas","Juve, Karla","",""
"SUWS013758","Douglas","Juve, Karla","",""
"SUWS013759","Douglas","Juve, Karla","",""
"SUWS013760","Douglas","Juve, Karla","",""
"SUWS013761","Douglas","Juve, Karla","",""
"SUWS013762","Douglas","Juve, Karla","",""
"SUWS013763","Douglas","Juve, Karla","",""
"SUWS013764","Douglas","Juve, Karla","",""
"SUWS013765","Douglas","Juve, Karla","",""
"SUWS013767","Douglas","Juve, Karla","",""
"SUWS013768","Douglas","Juve, Karla","",""
"SUWS013769","Douglas","Juve, Karla","",""
"SUWS013770","Douglas","Salomaki, Shannon","",""
"SUWS013771","Douglas","Salomaki, Shannon","",""
"SUWS013772","Douglas","Salomaki, Shannon","",""
"SUWS013773","Douglas","Salomaki, Shannon","",""
"SUWS013774","Douglas","Salomaki, Shannon","",""
"SUWS013775","Douglas","Salomaki, Shannon","",""
"SUWS013776","Sawyer","Salomaki, Shannon","",""
"SUWS013777","Sawyer","Salomaki, Shannon","",""
"SUWS013778","Sawyer","Salomaki, Shannon","",""
"SUWS013779","Douglas","Salomaki, Shannon","",""
"SUWS013780","Douglas","Salomaki, Shannon","",""
"SUWS013781","Douglas","Salomaki, Shannon","",""
"SUWS013782","Douglas","Salomaki, Shannon","",""
"SUWS013783","Douglas","Salomaki, Shannon","",""
"SUWS013784","Douglas","Salomaki, Shannon","",""
"SUWS013785","Douglas","Salomaki, Shannon","",""
"SUWS013786","Douglas","Salomaki, Shannon","",""
"SUWS013788","Douglas","Salomaki, Shannon","",""
"SUWS013790","Douglas","Salomaki, Shannon","",""
"SUWS013791","Douglas","Salomaki, Shannon","",""
"SUWS013792","Douglas","Salomaki, Shannon","",""
"SUWS013793","Douglas","Salomaki, Shannon","",""
"SUWS013794","Douglas","Salomaki, Shannon","",""
"SUWS013796","Douglas","Salomaki, Shannon","",""
"SUWS013797","Douglas","Salomaki, Shannon","",""
"SUWS013798","Douglas","Salomaki, Shannon","",""
"SUWS013800","Douglas","Salomaki, Shannon","",""
"SUWS013801","Douglas","Salomaki, Shannon","",""
"SUWS013802","Douglas","Salomaki, Shannon","",""
"SUWS013803","Sawyer","Shomaki, Shannon","",""
"SUWS013804","Douglas","Eastman, Dave","",""
"SUWS013805","Douglas","Eastman, Dave","",""
"SUWS013806","Douglas","Eastman, Dave","",""
"SUWS013807","Douglas","Eastman, Dave","",""
"SUWS013808","Douglas","Eastman, Dave","",""
"SUWS013809","Douglas","Eastman, Dave","",""
"SUWS013810","Douglas","Eastman, Dave","",""
"SUWS013812","Douglas","Eastman, Dave","",""
"SUWS013813","Douglas","Eastman, Dave","",""
"SUWS013814","Douglas","Eastman, Dave","",""
"SUWS013815","Douglas","Eastman, Dave","",""
"SUWS013816","Douglas","Eastman, Dave","",""
"SUWS013820","Douglas","Eastman, Dave","",""
"SUWS013821","Douglas","Eastman, Dave","",""
"SUWS013822","Douglas","Eastman, Dave","",""
"SUWS013824","Douglas","Bernacki, Beth","",""
"SUWS013825","Douglas","Bernacki, Beth","",""
"SUWS013828","Douglas","Bernacki, Beth","",""
"SUWS013829","Douglas","Bernacki, Beth","",""
"SUWS013832","Douglas","Bernacki, Beth","",""
"SUWS013835","Douglas","Bernacki, Beth","",""
"SUWS013838","Douglas","Bernacki, Beth","",""
"SUWS013839","Douglas","Bernacki, Beth","",""
"SUWS013841","Douglas","Bernacki, Beth","",""
"SUWS013843","Douglas","Eastman, Dave","",""
"SUWS013844","Douglas","Eastman, Dave","",""
"SUWS013845","Douglas","Eastman, Dave","",""
"SUWS013846","Douglas","Eastman, Dave","",""
"SUWS013847","Douglas","Eastman, Dave","",""
"SUWS013848","Douglas","Eastman, Dave","",""
"SUWS013849","Douglas","Eastman, Dave","",""
"SUWS013850","Douglas","Eastman, Dave","",""
"SUWS013851","Douglas","Eastman, Dave","",""
"SUWS013852","Douglas","Eastman, Dave","",""
"SUWS013854","Sawyer","Salomaki, Shannon","",""
"SUWS013855","Douglas","Salomaki, Shannon","",""
"SUWS013856","Douglas","Salomaki, Shannon","",""
"SUWS013857","Douglas","Salomaki, Shannon","",""
"SUWS013858","Douglas","Salomaki, Shannon","",""
"SUWS013859","Douglas","Fahrney, Brian","",""
"SUWS013860","Douglas","Fahrney, Brian","",""
"SUWS013861","Douglas","Fahrney, Brian","",""
"SUWS013863","Douglas","Fahrney, Brian","",""
"SUWS013864","Douglas","Fahrney, Brian","",""
"SUWS013865","Rock","Fahrney, Brian","",""
"SUWS013866","Rock","Fahrney, Brian","",""
"SUWS013868","Douglas","Fahrney, Brian","",""
"SUWS013871","Douglas","Fahrney, Brian","",""
"SUWS013872","Douglas","Fahrney, Brian","",""
"SUWS013873","Douglas","Fahrney, Brian","",""
"SUWS013875","Douglas","Fahrney, Brian","",""
"SUWS013875B","Douglas","Blazevic, Ryan M.","",""
"SUWS013876","Douglas","Blazevic, Ryan M.","",""
"SUWS013877","Douglas","Blazevic, Ryan M.","",""
"SUWS013878","Douglas","Blazevic, Ryan M.","",""
"SUWS013879","Douglas","Blazevic, Ryan M.","",""
"SUWS013880","Douglas","Blazevic, Ryan M.","",""
"SUWS013881","Douglas","Blazevic, Ryan M.","",""
"SUWS013882","Douglas","Blazevic, Ryan M.","",""
"SUWS013883","Douglas","Blazevic, Ryan M.","",""
"SUWS013884","Douglas","Blazevic, Ryan M.","",""
"SUWS013885","Douglas","Blazevic, Ryan M.","",""
"SUWS013886","Douglas","Blazevic, Ryan M.","",""
"SUWS013887","Douglas","Blazevic, Ryan M.","",""
"SUWS013889","Douglas","Blazevic, Ryan M.","",""
"SUWS013890","Douglas","Blazevic, Ryan M.","",""
"SUWS013891","Douglas","Blazevic, Ryan M.","",""
"SUWS013892","Douglas","Blazevic, Ryan M.","",""
"SUWS013893","Douglas","Fahrney, Brian","",""
"SUWS013894","Douglas","Eastman, Dave","",""
"SUWS013895","Douglas","Fahrney, Brian","",""
"SUWS013896","Douglas","Fahrney, Brian","",""
"SUWS013897","Douglas","Fahrney, Brian","",""
"SUWS013898","Douglas","Fahrney, Brian","",""
"SUWS013902","Douglas","Eastman, Dave","",""
"SUWS013903","Douglas","Eastman, Dave","",""
"SUWS013904","Douglas","Eastman, Dave","",""
"SUWS013905","Douglas","Eastman, Dave","",""
"SUWS013907","Douglas","Eastman, Dave","",""
"SUWS013908","Douglas","Bernacki, Beth","",""
"SUWS013909","Douglas","Bernacki, Beth","",""
"SUWS013910","Douglas","Bernacki, Beth","",""
"SUWS013912","Douglas","Bernacki, Beth","",""
"SUWS013914","Douglas","Bernacki, Beth","",""
"SUWS013917","Douglas","Bernacki, Beth","",""
"SUWS013919","Douglas","Bernacki, Beth","",""
"SUWS013920","Douglas","Bernacki, Beth","",""
"SUWS013922","Douglas","Bernacki, Beth","",""
"SUWS013926","Douglas","Bernacki, Beth","",""
"SUWS013929","Douglas","Castle, R.","",""
"SUWS013930","Douglas","Castle, R.","",""
"SUWS013932","Douglas","Castle, R.","",""
"SUWS013933","Douglas","Castle, R.","",""
"SUWS013935","Douglas","Schmidt, M.","",""
"SUWS013936","Douglas","Castle, R.","",""
"SUWS013938","Douglas","Castle, R.","",""
"SUWS013939","Douglas","Castle, R.","",""
"SUWS013940","Douglas","Castle, R."," Johnson, R.",""
"SUWS013942","Douglas","Castle, R."," Johnson, R.",""
"SUWS013943","Douglas","Castle, R."," Davidson, Donald W."," Anderson, D."
"SUWS013944","Douglas","Castle, R."," Johnson, R.",""
"SUWS013946","Douglas","Johnson, R."," Castle, R.",""
"SUWS013947","Douglas","Castle, R.","",""
"SUWS013948","Douglas","Castle, R.","",""
"SUWS013949","Douglas","Castle, R.","",""
"SUWS013950","Ashland","Castle, R.","",""
"SUWS013951","Douglas","Davidson, Donald W."," Castle, R."," Johnson, Robbye"
"SUWS013952","Douglas","Anderson, D."," Johnson, R."," Castle, R."
"SUWS013953","Douglas","Castle, R."," Anderson, D.",""
"SUWS013954","Douglas","Castle, R.","",""
"SUWS013955","Douglas","Johnson, R."," Castle, R.",""
"SUWS013956","Douglas","Castle, R.","",""
"SUWS013957","Douglas","Castle, R.","",""
"SUWS013958","Douglas","Castle, R.","",""
"SUWS013959","Douglas","Castle, R.","",""
"SUWS013961","Douglas","Castle, R.","",""
"SUWS013963","Douglas","Castle, R.","",""
"SUWS013964","Douglas","Castle, R.","",""
"SUWS013965","Douglas","Castle, R.","",""
"SUWS013966","Douglas","Anderson, D."," Johnson, R."," Castle, R."
"SUWS013967","Douglas","Castle, R.","",""
"SUWS013969","Douglas","Johnson, R."," Anderson, D."," Castle, R."
"SUWS013970","Douglas","Castle, R.","",""
"SUWS013971","Douglas","Castle, R.","",""
"SUWS013971A","Burnett","Castle, R.","",""
"SUWS013972","Douglas","Castle, R.","",""
"SUWS013972b","Douglas","Castle, R.","",""
"SUWS013973","Douglas","Castle, R.","",""
"SUWS013974","Douglas","Castle, R."," Johnson, R.",""
"SUWS013975","Douglas","Johnson, R."," Castle, R.",""
"SUWS013976","Douglas","Castle, R."," Johnson, R.",""
"SUWS013977","Douglas","Castle, R."," Johnson, R.",""
"SUWS013978","Bayfield","Castle, R.","",""
"SUWS013979","Douglas","Hein, Elizabeth","",""
"SUWS013980","Douglas","Hein, Elizabeth","",""
"SUWS013981","Douglas","Hein, Elizabeth","",""
"SUWS013982","Douglas","Hein, Elizabeth","",""
"SUWS013983","Douglas","Hein, Elizabeth","",""
"SUWS013984","Douglas","Hein, Elizabeth","",""
"SUWS013985","Douglas","Hein, Elizabeth","",""
"SUWS013986","Douglas","Hein, Elizabeth","",""
"SUWS013987","Douglas","Hein, Elizabeth","",""
"SUWS013988","Douglas","Anderson, D."," Castle, R.",""
"SUWS013989","Douglas","Castle, R.","",""
"SUWS013990","Douglas","Castle, R.","",""
"SUWS013991","Douglas","Castle, R.","",""
"SUWS013992","Douglas","Castle, R.","",""
"SUWS013993","Douglas","Castle, R.","",""
"SUWS013994","Douglas","Castle, R.","",""
"SUWS013996","Douglas","Castle, R.","",""
"SUWS014002","Douglas","Castle, R.","",""
"SUWS014003","Douglas","Castle, R.","",""
"SUWS014004","Douglas","Castle, R.","",""
"SUWS014005","Douglas","Castle, R.","",""
"SUWS014006","Douglas","Castle, R.","",""
"SUWS014007","Douglas","Castle, R.","",""
"SUWS014008","Douglas","Castle, R.","",""
"SUWS014009","Douglas","Castle, R.","",""
"SUWS014010","Douglas","Castle, R.","",""
"SUWS014011","Douglas","Castle, R.","",""
"SUWS014012","Douglas","Castle, R.","",""
"SUWS014013","Douglas","Castle, R.","",""
"SUWS014014","Douglas","Castle, R.","",""
"SUWS014015","Douglas","Castle, R.","",""
"SUWS014016","Douglas","Castle, R.","",""
"SUWS014018","Douglas","Castle, R.","",""
"SUWS014021","Douglas","Castle, R.","",""
"SUWS014022","Douglas","Castle, R.","",""
"SUWS014023","Douglas","Castle, R.","",""
"SUWS014024","Douglas","Castle, R.","",""
"SUWS014025","Douglas","Castle, R.","",""
"SUWS014027","Douglas","Bruederle, Leo P.","",""
"SUWS014028","Douglas","Bruederle, Leo P.","",""
"SUWS014029","Douglas","Bruederle, Leo P.","",""
"SUWS014030","Douglas","Bruederle, Leo P.","",""
"SUWS014031","Douglas","Bruederle, Leo P.","",""
"SUWS014032","Douglas","Bruederle, Leo P.","",""
"SUWS014033","Douglas","Bruederle, Leo P.","",""
"SUWS014034","Douglas","Bruederle, Leo P.","",""
"SUWS014035","Douglas","Bruederle, Leo P.","",""
"SUWS014036","Douglas","Bruederle, Leo P.","",""
"SUWS014037","Douglas","Bruederle, Leo P.","",""
"SUWS014038","Douglas","Bruederle, Leo P.","",""
"SUWS014039","Douglas","Bruederle, Leo P.","",""
"SUWS014040","Douglas","Bruederle, Leo P.","",""
"SUWS014041","Douglas","Bruederle, Leo P.","",""
"SUWS014042","Douglas","Koch, Rudy G.","",""
"SUWS014043","Douglas","Bruederle, Leo P.","",""
"SUWS014044","Douglas","Bruederle, Leo P.","",""
"SUWS014045","Douglas","Bruederle, Leo P.","",""
"SUWS014046","Douglas","Bruederle, Leo P.","",""
"SUWS014047","Douglas","Bruederle, Leo P.","",""
"SUWS014048","Douglas","Bruederle, Leo P.","",""
"SUWS014049","Douglas","Bruederle, Leo P."," Clements, Jimmy",""
"SUWS014050","Douglas","Bruederle, Leo P.","",""
"SUWS014051","Douglas","Bruederle, Leo P.","",""
"SUWS014052","Douglas","Bruederle, Leo P.","",""
"SUWS014053","Douglas","Bruederle, Leo P.","",""
"SUWS014054","Douglas","Bruederle, Leo P.","",""
"SUWS014055","Douglas","Bruederle, Leo P.","",""
"SUWS014057","Ashland","Koch, Rudy G.","",""
"SUWS014058","Douglas","Brashier"," Romans",""
"SUWS014059","Richland","Nee, M.","",""
"SUWS014060","La Crosse","Nontelle, Deon M.","",""
"SUWS014061","La Crosse","Nontelle, Deon M.","",""
"SUWS014062","Buffalo","Hornung, Tom","",""
"SUWS014063","La Crosse","Demaske, D.","",""
"SUWS014064","Bayfield","Banks, J. A.","",""
"SUWS014067","La Crosse","Demaske, D.","",""
"SUWS014068","La Crosse","Demaske, D.","",""
"SUWS014069","La Crosse","Nontelle, Deon M.","",""
"SUWS014070","La Crosse","Demaske, D.","",""
"SUWS014071","La Crosse","Sohmer, S. H.","",""
"SUWS014072","Buffalo","Hornung, Tom","",""
"SUWS014073","Sawyer","Davis, J. D.","",""
"SUWS014074","La Crosse","Sohmer, S. H.","",""
"SUWS014075","La Crosse","Sohmer, S. H.","",""
"SUWS014077","La Crosse","Nontelle, Deon M.","",""
"SUWS014078","La Crosse","Demaske, D.","",""
"SUWS014079","La Crosse","Demaske, D.","",""
"SUWS014080","La Crosse","Nontelle, Deon M.","",""
"SUWS014081","Ashland","Koch, Rudy G.","",""
"SUWS014082","Vernon","Ziegler, S. R.","",""
"SUWS014083","La Crosse","Nontelle, Deon M.","",""
"SUWS014084","La Crosse","Nontelle, Deon M.","",""
"SUWS014085","Douglas","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS014086","La Crosse","Kott, Bonnie K.","",""
"SUWS014087","Douglas","Olson, Patti","",""
"SUWS014088","Douglas","Olson, Patti","",""
"SUWS014089","Douglas","Olson, Patti","",""
"SUWS014090","Douglas","Hendrickson, Sue","",""
"SUWS014091","La Crosse","Swanson, Steven D.","",""
"SUWS014092","Vernon","Sohmer, S. H.","",""
"SUWS014093","Ashland","Clements, Jimmy D.","",""
"SUWS014105","La Crosse","Nontelle, Deon M.","",""
"SUWS014106","Douglas","Brashier"," Romans",""
"SUWS014107","Ashland","Team 4","",""
"SUWS014108","La Crosse","Demaske, D.","",""
"SUWS014109","Douglas","Olson, Patti","",""
"SUWS014110","Douglas","Olson, Patti","",""
"SUWS014111","Vernon","Sohmer, S. H.","",""
"SUWS014112","Ashland","Koch, Rudy G.","",""
"SUWS014113","La Crosse","Nontelle, Deon M.","",""
"SUWS014114","La Crosse","Demaske, D.","",""
"SUWS014115","La Crosse","Nontelle, Deon M.","",""
"SUWS014116","La Crosse","Demaske, D.","",""
"SUWS014119","Douglas","Tendrup, Lynn S.","",""
"SUWS014120","Vernon","Sohmer, S. H.","",""
"SUWS014121","Trempealeau","Demaske, D.","",""
"SUWS014122","La Crosse","Ruhser, Jean C.","",""
"SUWS014123","La Crosse","Nontelle, Deon M.","",""
"SUWS014124","Douglas","Olson, Patti","",""
"SUWS014125","Vernon","Sohmer, S. H.","",""
"SUWS014126","La Crosse","Sohmer, S. H.","",""
"SUWS014127","Vernon","Sohmer, S. H.","",""
"SUWS014128","La Crosse","Nontelle, Deon M.","",""
"SUWS014130","La Crosse","Sohmer, S. H.","",""
"SUWS014132","Sawyer","Davis, J. D.","",""
"SUWS014133","Douglas","Olson, Patti","",""
"SUWS014134","Trempealeau","Lenser, Gregory J."," Stetzer, Gerald W.",""
"SUWS014135","La Crosse","Lenser, G.","",""
"SUWS014137","La Crosse","Sohmer, S. H.","",""
"SUWS014138","Trempealeau","Demaske, D.","",""
"SUWS014139","Trempealeau","Sohmer, S. H."," Demaske, D.",""
"SUWS014140","Trempealeau","Demaske, D.","",""
"SUWS014141","Monroe","Sohmer, S. H.","",""
"SUWS014142","La Crosse","Sohmer, S. H."," Nontelle, Deon M.",""
"SUWS014143","Douglas","Koch, Rudy G.","",""
"SUWS014144","Douglas","Stackler, Susan","",""
"SUWS014145","La Crosse","Dawson, Verdel","",""
"SUWS014147","La Crosse","Demaske, D.","",""
"SUWS014149","Douglas","Olson, Patti","",""
"SUWS014150","Douglas","Olson, Patti","",""
"SUWS014163","Douglas","Fahrney, Brian","",""
"SUWS014185","Douglas","Dabydeen, Simon","",""
"SUWS014186","Douglas","Thomson, John W., Jr.","",""
"SUWS014187","Douglas","Thomson, John W., Jr.","",""
"SUWS014188","Douglas","Smetak, Scott","",""
"SUWS014189","Douglas","Thomson, John W., Jr.","",""
"SUWS014190","Barron","Thomson, John W., Jr.","",""
"SUWS014191","Douglas","Koch, Rudy G.","",""
"SUWS014192","Douglas","Thomson, John W., Jr.","",""
"SUWS014193","Bayfield","Brost, Mike","",""
"SUWS014194","Vernon","Ziegler, S. R."," Leykom, M. F.",""
"SUWS014195","Douglas","Mitchell, John A.","",""
"SUWS014196","Douglas","Mendenhall, Paula M.","",""
"SUWS014197","Douglas","Stackler, Susan","",""
"SUWS014198","Douglas","Brashier"," Romans",""
"SUWS014200","Bayfield","Brashier"," Grage",""
"SUWS014201","Douglas","Castle, R.","",""
"SUWS014202","Douglas","Bruederle, Leo P.","",""
"SUWS014203","Douglas","Castle, R.","",""
"SUWS014204","Douglas","C., E. A."," McC., N. V.",""
"SUWS014205","Douglas","Thomson, John W., Jr.","",""
"SUWS014206","Douglas","Stackler, Susan","",""
"SUWS014207","Douglas","Hicks, James","",""
"SUWS014208","Douglas","Brost, Mike","",""
"SUWS014209","Douglas","Thomson, John W., Jr.","",""
"SUWS014211","Douglas","Castle, R.","",""
"SUWS014212","Douglas","Clements, Jimmy D.","",""
"SUWS014215","Douglas","Thomson, John W., Jr.","",""
"SUWS014216","Douglas","Thomson, John W., Jr.","",""
"SUWS014219","Douglas","Koch, Rudy G.","",""
"SUWS014220","Douglas","Thomson, John W., Jr.","",""
"SUWS014221","Douglas","Thomson, John W., Jr.","",""
"SUWS014222","Douglas","Thomson, John W., Jr.","",""
"SUWS014223","Douglas","Koch, Rudy G.","",""
"SUWS014226","Douglas","Brashier"," Romans",""
"SUWS014227","Bayfield","Valaskey"," Brashier",""
"SUWS014228","Douglas","Thomson, John W., Jr.","",""
"SUWS014229","Bayfield","Janowski"," Brashier",""
"SUWS014231","Douglas","Stackler, Susan","",""
"SUWS014233","La Crosse","Koch, Rudy G.","",""
"SUWS014234","La Crosse","Nontelle, Deon M.","",""
"SUWS014235","Douglas","Brashier"," Romans",""
"SUWS014236","La Crosse","Nontelle, Deon M.","",""
"SUWS014237","Douglas","Lahti, Duane","",""
"SUWS014238","Douglas","Castle, R.","",""
"SUWS014239","Bayfield","Brashier"," Valaskey",""
"SUWS014240","Douglas","Brashier"," Romans",""
"SUWS014241","Douglas","Koch, Rudy G.","",""
"SUWS014242","Douglas","Thomson, John W., Jr.","",""
"SUWS014243","Douglas","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS014244","Douglas","Castle, R.","",""
"SUWS014245","Douglas","Swanson, Denny","",""
"SUWS014246","Burnett","Brashier"," Romans",""
"SUWS014248","Bayfield","Collins"," Brashier",""
"SUWS014249","Bayfield","Brashier"," Romans",""
"SUWS014250","Bayfield","Collins"," Brashier",""
"SUWS014251","Douglas","Koch, Rudy G.","",""
"SUWS014252","Bayfield","Cornell"," Brashier",""
"SUWS014253","St. Croix","Holden"," Brashier",""
"SUWS014254","Bayfield","Castle, R.","",""
"SUWS014255","Bayfield","Hjerleid"," Brashier",""
"SUWS014256","Bayfield","Hjerleid"," Brashier",""
"SUWS014257","Bayfield","Mackensen"," Brashier",""
"SUWS014258","Douglas","Brashier"," Romans",""
"SUWS014259","Douglas","Thomson, John W., Jr.","",""
"SUWS014260","Vernon","Sohmer, S. H.","",""
"SUWS014261","Douglas","Thomson, John W., Jr.","",""
"SUWS014263","La Crosse","Nontelle, Deon M.","",""
