"catalogNumber","county","recordedBy_primary","recordedBy_secondary","recordedBy_tertiary"
"SUWS010196","Ashland","Pellett, T. D."," Smith, W. A.",""
"SUWS010199","Douglas","Thomson, John W., Jr."," Lund, F. E."," Carona, Michael"
"SUWS010200","Douglas","Swanson, Denny","",""
"SUWS010201","La Crosse","Severson, S.","",""
"SUWS010202","Bayfield","Koch, Rudy G.","",""
"SUWS010204","Bayfield","Lahti, Duane","",""
"SUWS010205","Bayfield","Koch, Rudy G.","",""
"SUWS010207","Douglas","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS010208","Douglas","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS010210","Douglas","Thomson, John W., Jr."," Fassett, Norman C.",""
"SUWS010211","Bayfield","Koch, Rudy G.","",""
"SUWS010213","Douglas","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS010214","Bayfield","Lahti, Duane","",""
"SUWS010215","Waupaca","Harriman, Neil A.","",""
"SUWS010216","Vernon","Sohmer, S. H.","",""
"SUWS010217","Douglas","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS010218","Douglas","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS010219","Douglas","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS010220","La Crosse","Severson, S.","",""
"SUWS010221","Bayfield","Koch, Rudy G.","",""
"SUWS010222","Douglas","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS010223","Douglas","Thomson, John W., Jr.","",""
"SUWS010224","Bayfield","Koch, Rudy G.","",""
"SUWS010225","Douglas","Koch, Rudy G.","",""
"SUWS010226","Vernon","Swanson, Steven D.","",""
"SUWS010227","Douglas","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS010228","Douglas","Thomson, John W., Jr.","",""
"SUWS010230","Douglas","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS010231","Douglas","Thomson, John W., Jr.","",""
"SUWS010232","Waupaca","Harriman, Neil A.","",""
"SUWS010233","Douglas","Thomson, John W., Jr.","",""
"SUWS010317","La Crosse","Johnson, Richard R.","",""
