OID,catalogNumber,N_latitude,W_longitude,N_latitude_D,W_longitude_D,DDLat,DDLon,TWP,RNG,DIR_ALPHA
279,SUWS011072,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
280,SUWS011076,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
281,SUWS011078,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
282,SUWS011083,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
283,SUWS011084,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
284,SUWS011090,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
285,SUWS011091,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
286,SUWS011092,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
287,SUWS011104,44.761150 N, 92.487410 W,44.76115,-92.48741,44.76115,-92.48741,26,17,W
288,SUWS011105,43.667240 N, 90.223460 W,43.66724,-90.22346,43.66724,-90.22346,14,2,E
289,SUWS011112,46.712310 N, 92.091360 W,46.71231,-92.09136,46.71231,-92.09136,49,14,W
290,SUWS011113,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
291,SUWS011115,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
292,SUWS011117,46.712310 N, 92.091360 W,46.71231,-92.09136,46.71231,-92.09136,49,14,W
293,SUWS011118,46.489860 N, 92.184140 W,46.48986,-92.18414,46.48986,-92.18414,46,15,W
294,SUWS011120,46.353270 N, 91.822410 W,46.35327,-91.82241,46.35327,-91.82241,45,12,W
295,SUWS011121,46.718100 N, 92.114680 W,46.7181,-92.11468,46.7181,-92.11468,49,14,W
296,SUWS011122,46.716880 N, 92.074360 W,46.71688,-92.07436,46.71688,-92.07436,49,14,W
297,SUWS011123,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
298,SUWS011124,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
299,SUWS011125,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
300,SUWS011126,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
301,SUWS011128,46.363170 N, 91.374240 W,46.36317,-91.37424,46.36317,-91.37424,45,8,W
302,SUWS011130,46.035700 N, 92.271740 W,46.0357,-92.27174,46.0357,-92.27174,41,15,W
303,SUWS011132,46.681220 N, 92.066310 W,46.68122,-92.06631,46.68122,-92.06631,49,14,W
304,SUWS011138,42.835280 N, 89.067610 W,42.83528,-89.06761,42.83528,-89.06761,4,12,E
305,SUWS011148,46.681220 N, 92.066310 W,46.68122,-92.06631,46.68122,-92.06631,49,14,W
306,SUWS011151,46.712310 N, 92.091360 W,46.71231,-92.09136,46.71231,-92.09136,49,14,W
307,SUWS011152,42.835280 N, 89.067610 W,42.83528,-89.06761,42.83528,-89.06761,4,12,E
308,SUWS011154,46.489860 N, 92.184140 W,46.48986,-92.18414,46.48986,-92.18414,46,15,W
309,SUWS011161,46.717840 N, 92.087860 W,46.71784,-92.08786,46.71784,-92.08786,49,14,W
