"catalogNumber","county","collectedBy","t_num","t_dir","r_num","r_dir"
"SUWS010104","Burnett","Koch, Rudy G.",42,"N",15,"W"
"SUWS010105","Bayfield","Koch, Rudy G.",45,"N",7,"W"
"SUWS010106","Bayfield","Koch, Rudy G.",51,"N",5,"W"
"SUWS010112","Douglas","Koch, Rudy G.",48,"N",12,"W"
"SUWS010113","Bayfield","Parrish",45,"N",8,"W"
"SUWS010114","Douglas","Koch, Rudy G.",47,"N",14,"W"
"SUWS010115","Douglas","Gitar",49,"N",14,"W"
"SUWS010116","Ashland","Koch, Rudy G.",51,"N",3,"W"
"SUWS010117","Bayfield","Brashier",45,"N",8,"W"
"SUWS010118","Bayfield","Thomson, John W., Jr.",48,"N",9,"W"
"SUWS010119","Ashland","Koch, Rudy G.",42,"N",2,"W"
"SUWS010120","Douglas","Koch, Rudy G.",46,"N",15,"W"
"SUWS010121","Bayfield","Koch, Rudy G.",45,"N",8,"W"
"SUWS010123","Douglas","Thomson, John W., Jr.",46," N",11,"W"
"SUWS010124","Douglas","Thomson, John W., Jr.",49," N",10,"W"
"SUWS010125","Douglas","Thomson, Olive S.",47,"N",10,"W"
"SUWS010126","Douglas","Michell, John",46,"N",10,"W"
"SUWS010127","Douglas","Thomson, John W., Jr.",49,"N",13,"W"
"SUWS010129","Douglas","Koch, Rudy G.",48,"N",12,"W"
"SUWS010130","Iron","Koch, Rudy G.",45,"N",3,"E"
"SUWS010131","Douglas","Mitchell, John A.",46,"N",10,"W"
"SUWS010132","Douglas","",NA,NA,NA,NA
"SUWS010133","Bayfield","Thomson, John W., Jr.",48,"N",9,"W"
"SUWS010134","Douglas","Stackler, Susan",46,"N",15,"W"
"SUWS010135","Buffalo","Peck, James H.",20,"N",12,"W"
"SUWS010136","Douglas","",47,"N",15,"W"
"SUWS010138","Bayfield","Brashier",45,"N",8,"W"
"SUWS010139","La Crosse","Sohmer, S. H.",17,"N",8,"W"
"SUWS010140","Waushara","Parfitt, Bruce",19,"N",13,"E"
"SUWS010141","Douglas","Koch, Rudy G.",47,"N",14,"W"
"SUWS010142","Douglas","Thomson, John W., Jr.",47," N",14,"W"
"SUWS010143","Douglas","Thomson, John W., Jr.",48," N",10,"W"
"SUWS010144","Douglas","Thomson, John W., Jr.",48," N",12,"W"
"SUWS010145","Iron","Koch, Rudy G.",46,"N",2,"E"
"SUWS010147","Douglas","Thomson, John W., Jr.",47,"N",10,"W"
"SUWS010148","Ashland","Koch, Rudy G.",52,"N",2,"W"
"SUWS010149","La Crosse","Peck, James H.",16,"N",6,"W"
"SUWS010150","Bayfield","Brashier",45,"N",8,"W"
"SUWS010151","Bayfield","Koch, Rudy G.",52,"N",4,"W "
"SUWS010152","Bayfield","Koch, Rudy G.",45,"N",7,"W"
"SUWS010153","Douglas","Collinson, Keith",49,"N",14,"W"
"SUWS010154","Douglas","Koch, Rudy G.",46,"N",15,"W"
"SUWS010155","Douglas","Koch, Rudy G.",44,"N",14,"W"
"SUWS010157","Douglas","Thomson, John W., Jr.",45," N",11,"W"
"SUWS010158","Douglas","Koch, Rudy G.",44,"N",14,"W"
"SUWS010158b","Douglas","Stackler, Susan",46,"N",15,"W"
"SUWS010159","Bayfield","Brashier",45,"N",8,"W"
"SUWS010160","Ashland","Koch, Rudy G.",42,"N",2,"W"
"SUWS010162","Iron","Koch, Rudy G.",46,"N",2,"E"
"SUWS010164","Bayfield","Brashier",45,"N",8,"W"
"SUWS010165","Douglas","Koch, Rudy G.",46,"N",15,"W"
"SUWS010166","La Crosse","Nelson, C. J.",16,"N",6,"W"
"SUWS010167","Douglas","Thomson, John W., Jr.",47," N",10,"W"
"SUWS010168","Sawyer","Davis, J. D.",41,"N",7,"W"
"SUWS010169","Douglas","Thomson, John W., Jr.",47,"N",10,"W"
"SUWS010170","Douglas","Thomson, John W., Jr.",46," N",11,"W"
"SUWS010171","Douglas","Koch, Rudy G.",44,"N",12,"W"
"SUWS010172","Douglas","Thomson, John W., Jr.",46,"N",10,"W"
"SUWS010173","Douglas","Thomson, John W., Jr.",47," N",10,"W"
"SUWS010174","Douglas","Koch, Rudy G.",49,"N",13,"W"
"SUWS010175","Ashland","Koch, Rudy G.",51,"N",3,"W"
"SUWS010179","Ashland","Koch, Rudy G.",49,"N",3,"W"
"SUWS010180","Columbia","Smith, W. A.",11,"N",8,"E"
"SUWS010181","Douglas","Charboneau, E.",49,"N",13,"W"
"SUWS010184","Douglas","Koch, Rudy G.",49,"N",14,"W"
"SUWS010186","Vernon","Chen, Jane Meau",14,"N",7,"W"
"SUWS010187","Douglas","Thomson, John W., Jr.",47," N",10,"W"
"SUWS010190","Douglas","Thomson, John W., Jr.",47," N",10,"W"
"SUWS010191","Douglas","Thomson, John W., Jr.",46," N",10,"W"
"SUWS010192","Bayfield","Lahti, Duane",46,"N",8,"W"
"SUWS010193","Douglas","Thomson, John W., Jr.",46," N",10,"W"
"SUWS010194","Rusk","Iltis, Hugh H.",36,"N",3,"W"
"SUWS010195","Douglas","Thomson, John W., Jr.",46," N",11,"W"
"SUWS010196","Ashland","Pellett, T. D.",48,"N",2,"W"
"SUWS010199","Douglas","Thomson, John W., Jr.",44," N",12,"W"
"SUWS010200","Douglas","Swanson, Denny",46,"N",13,"W"
"SUWS010201","La Crosse","Severson, S.",17,"N",7,"W"
"SUWS010202","Bayfield","Koch, Rudy G.",51,"N",7,"W"
"SUWS010204","Bayfield","Lahti, Duane",48,"N",9,"W"
"SUWS010205","Bayfield","Koch, Rudy G.",50,"N",8,"W"
"SUWS010207","Douglas","Thomson, John W., Jr.",46," N",10,"W"
"SUWS010208","Douglas","Thomson, John W., Jr.",46," N",10,"W"
"SUWS010210","Douglas","Thomson, John W., Jr.",46," N",10,"W"
"SUWS010211","Bayfield","Koch, Rudy G.",51,"N",4,"W"
"SUWS010213","Douglas","Thomson, John W., Jr.",46," N",10,"W"
"SUWS010214","Bayfield","Lahti, Duane",46,"N",8,"W"
"SUWS010215","Waupaca","Harriman, Neil A.",21,"N",13,"E"
"SUWS010216","Vernon","Sohmer, S. H.",13,"N",7,"W"
"SUWS010217","Douglas","Thomson, John W., Jr.",46," N",10,"W"
"SUWS010218","Douglas","Thomson, John W., Jr.",47," N",10,"W"
"SUWS010219","Douglas","Thomson, John W., Jr.",46," N",10,"W"
"SUWS010220","La Crosse","Severson, S.",17,"N",7,"W"
"SUWS010221","Bayfield","Koch, Rudy G.",50,"N",8,"W"
"SUWS010222","Douglas","Thomson, John W., Jr.",46," N",10,"W"
"SUWS010223","Douglas","Thomson, John W., Jr.",46," N",10,"W"
"SUWS010224","Bayfield","Koch, Rudy G.",50,"N",8,"W"
"SUWS010225","Douglas","Koch, Rudy G.",49,"N",13,"W"
"SUWS010226","Vernon","Swanson, Steven D.",14,"N",7,"W"
"SUWS010227","Douglas","Thomson, John W., Jr.",47," N",10,"W"
"SUWS010228","Douglas","Thomson, John W., Jr.",46," N",11,"W"
"SUWS010230","Douglas","Thomson, John W., Jr.",46," N",10,"W"
"SUWS010231","Douglas","Thomson, John W., Jr.",46," N",10,"W"
"SUWS010232","Waupaca","Harriman, Neil A.",21,"N",13,"E"
"SUWS010233","Douglas","Thomson, John W., Jr.",49," N",13,"W"
"SUWS010317","La Crosse","Johnson, Richard R.",15,"N",5,"W"
"SUWS010318","Manitowoc","Brashier",18,"N",23,"E"
"SUWS010319","Vernon","Sohmer, S. H.",14,"N",7,"W"
"SUWS010320","Richland","Koch, Rudy G.",11,"N",2,"W"
"SUWS010321","Douglas","Stackler, Susan",46,"N",15,"W"
"SUWS010322","La Crosse","Demaske, D.",15,"N",7,"W"
"SUWS010323","Douglas","Thomson, John W., Jr.",47," N",11,"W"
"SUWS010324","Douglas","Thomson, John W., Jr.",45," N",11,"W"
"SUWS010326","Bayfield","Brashier",45,"N",8,"W"
"SUWS010327","Douglas","Swanson, Denny",46,"N",15,"W"
"SUWS010328","Douglas","Koch, Rudy G.",43,"N",12,"W"
"SUWS010331","Richland","Koch, Rudy G.",9,"N",2,"W"
"SUWS010332","Bayfield","Koch, Rudy G.",48,"N",5,"W"
"SUWS010333","Bayfield","Koch, Rudy G.",50,"N",8,"W"
"SUWS010334","La Crosse","Brimmer, K.",16,"N",7,"W"
"SUWS010335","Dodge","Christian, John R.",12,"N",16,"E"
"SUWS010336","Douglas","Thomson, John W., Jr.",46," N",10,"W"
"SUWS010337","Buffalo","La Liberte, Paul",20,"N",12,"W"
"SUWS010340","Dane","Anderson, Bruce P.",NA,NA,NA,NA
"SUWS010341","Marinette","Koch, Rudy G.",30,"N",23,"E"
"SUWS010342","La Crosse","Nontelle, Deon M.",15,"N",7,"W"
"SUWS010347","Chippewa","Thomson, John W., Jr.",NA,NA,NA,NA
"SUWS010348","La Crosse","Sohmer, S. H.",NA,NA,NA,NA
"SUWS010350","La Crosse","Nontelle, Deon M.",16,"N",7,"W"
"SUWS010351","Juneau","Brashier",14,"N",2,"E"
"SUWS010355","Ashland","Koch, Rudy G.",42,"N",2,"W"
"SUWS010356","Vilas","Smith, W. A.",40,"N",7,"E"
"SUWS010357","Bayfield","Koch, Rudy G.",44,"N",8,"W"
"SUWS010360","Bayfield","Sohmer, S. H.",45,"N",8,"W"
"SUWS010364","Douglas","Thomson, John W., Jr.",49,"N",14,"W"
"SUWS010365","Ashland","Koch, Rudy G.",49,"N",3,"W"
