"catalogNumber","t_num","t_dir","r_num","r_dir"
"SUWS010942",49,"N",14,"W"
"SUWS010949",49,"N",5,"W"
"SUWS010950",45,"N",12,"W"
"SUWS010956",49,"N",13,"W"
"SUWS010958",43,"N",8,"W"
"SUWS010959",48,"N",9,"W"
"SUWS010961",47,"N",14,"W"
"SUWS010964",46,"N",10,"W"
"SUWS010966",46,"N",10,"W"
"SUWS010967",49,"N",10,"W"
"SUWS010970",44,"N",10,"W"
"SUWS010983",46,"N",9,"W"
"SUWS010996",47,"N",14,"W"
"SUWS011003",49,"N",10,"W"
"SUWS011006",44,"N",13,"W"
"SUWS011007",13,"N",19,"E"
"SUWS011009",48,"N",9,"W"
"SUWS011014",49,"N",13,"W"
"SUWS011016",49,"N",13,"W"
"SUWS011017",46,"N",14,"W"
"SUWS011018",49,"N",14,"W"
"SUWS011020",45,"N",7,"W"
"SUWS011022",49,"N",14,"W"
"SUWS011030",44,"N",14,"W"
"SUWS011036",49,"N",13,"W"
"SUWS011038",46,"N",2,"E"
"SUWS011039",44,"N",13,"W"
"SUWS011040",49,"N",10,"W"
"SUWS011043",49,"N",13,"W"
"SUWS011044",49,"N",13,"W"
"SUWS011045",47,"N",14,"W"
"SUWS011049",49,"N",13,"W"
"SUWS011050",49,"N",14,"W"
"SUWS011067",48,"N",9,"W"
"SUWS011073",47,"N",10,"W"
"SUWS011075",47,"N",14,"W"
"SUWS011077",46,"N",15,"W"
"SUWS011079",47,"N",15,"W"
"SUWS011081",49,"N",13,"W"
"SUWS011082",49,"N",13,"W"
"SUWS011085",44,"N",14,"W"
"SUWS011088",47,"N",10,"W"
"SUWS011089",49,"N",8,"W"
"SUWS011093",46,"N",15,"W"
"SUWS011094",48,"N",9,"W"
"SUWS011101",47,"N",15,"W"
"SUWS011102",45,"N",12,"W"
"SUWS011114",46,"N",15,"W"
"SUWS011116",49,"N",13,"W"
"SUWS011127",49,"N",11,"W"
"SUWS011129",47,"N",14,"W"
"SUWS011133",49,"N",13,"W"
"SUWS011134",49,"N",12,"W"
"SUWS011135",49,"N",13,"W"
"SUWS011136",49,"N",13,"W"
"SUWS011137",49,"N",13,"W"
"SUWS011143",49,"N",13,"W"
"SUWS011144",49,"N",13,"W"
"SUWS011150",49,"N",13,"W"
"SUWS011156",10,"N",21,"E"
"SUWS011157",15,"N",5,"W"
"SUWS011160",47,"N",10,"W"
"SUWS011163",47,"N",10,"W"
"SUWS011165",47,"N",10,"W"
"SUWS011167",47,"N",14,"W"
"SUWS011174",46,"N",13,"W"
"SUWS011179",49,"N",14,"W"
"SUWS011180",48,"N",10,"W"
"SUWS011184",48,"N",15,"W"
"SUWS011185",47,"N",10,"W"
"SUWS011186",47,"N",10,"W"
"SUWS011188",43,"N",15,"W"
"SUWS011189",47,"N",11,"W"
"SUWS011190",46,"N",2,"E"
"SUWS011191",43,"N",11,"W"
"SUWS011192",49,"N",13,"W"
"SUWS011197",47,"N",11,"W"
"SUWS011200",44,"N",8,"W"
"SUWS011203",47,"N",14,"W"
"SUWS011207",46,"N",2,"E"
"SUWS011208",46,"N",10,"W"
"SUWS011210",49,"N",14,"W"
"SUWS011217",47,"N",14,"W"
"SUWS011219",47,"N",15,"W"
"SUWS011220",48,"N",14,"W"
"SUWS011223",46,"N",11,"W"
"SUWS011228",47,"N",15,"W"
"SUWS011230",49,"N",10,"W"
"SUWS011232",8,"N",3,"W"
"SUWS011234",52,"N",4,"W"
"SUWS011236",48,"N",12,"W"
"SUWS011237",46,"N",2,"E"
"SUWS011240",47,"N",14,"W"
"SUWS011244",45,"N",11,"W"
"SUWS011256",49,"N",13,"W"
"SUWS011258",49,"N",13,"W"
"SUWS011261",47,"N",10,"W"
"SUWS011268",36,"N",16,"W"
"SUWS011279",47,"N",14,"W"
"SUWS011280",47,"N",10,"W"
"SUWS011284",46,"N",10,"W"
"SUWS011285",47,"N",14,"W"
"SUWS011290",49,"N",13,"W"
"SUWS011293",49,"N",13,"W"
"SUWS011298",47,"N",10,"W"
"SUWS011299",46,"N",13,"W"
"SUWS011303",47,"N",10,"W"
"SUWS011305",46,"N",15,"W"
"SUWS011310",49,"N",13,"W"
"SUWS011311",46,"N",15,"W"
"SUWS011314",43,"N",15,"W"
"SUWS011318",47,"N",14,"W"
"SUWS011320",44,"N",14,"W"
"SUWS011322",48,"N",10,"W"
"SUWS011326",45,"N",9,"W"
"SUWS011329",49,"N",13,"W"
"SUWS011331",47,"N",11,"W"
"SUWS011334",49,"N",10,"W"
"SUWS011338",47,"N",14,"W"
"SUWS011339",49,"N",10,"W"
"SUWS011341",47,"N",8,"W"
"SUWS011343",49,"N",14,"W"
"SUWS011345",45,"N",1,"W"
"SUWS011346",49,"N",4,"W"
"SUWS011350",49,"N",10,"W"
"SUWS011354",49,"N",8,"W"
"SUWS011362",47,"N",12,"W"
"SUWS011374",48,"N",2,"W"
"SUWS011375",46,"N",14,"W"
"SUWS011378",46,"N",10,"W"
"SUWS011379",49,"N",13,"W"
"SUWS011381",49,"N",13,"W"
"SUWS011382",49,"N",13,"W"
"SUWS011383",47,"N",14,"W"
"SUWS011384",46,"N",10,"W"
"SUWS011390",49,"N",10,"W"
"SUWS011392",47,"N",14,"W"
"SUWS011394",47,"N",14,"W"
"SUWS011395",44,"N",12,"W"
"SUWS011397",48,"N",10,"W"
"SUWS011398",47,"N",14,"W"
"SUWS011403",46,"N",15,"W"
"SUWS011404",43,"N",11,"W"
"SUWS011405",46,"N",10,"W"
"SUWS011406",45,"N",10,"W"
"SUWS011408",45,"N",10,"W"
"SUWS011412",46,"N",13,"W"
"SUWS011416",47,"N",14,"W"
"SUWS011417",46,"N",11,"W"
"SUWS011418",45,"N",12,"W"
"SUWS011419",46,"N",2,"E"
"SUWS011422",47,"N",14,"W"
"SUWS011434",47,"N",15,"W"
"SUWS011438",45,"N",14,"W"
"SUWS011440",46,"N",11,"W"
"SUWS011445",46,"N",15,"W"
"SUWS011450",14,"N",7,"W"
"SUWS011451",49,"N",3,"W"
"SUWS011452",46,"N",14,"W"
"SUWS011454",49,"N",13,"W"
"SUWS011455",49,"N",13,"W"
"SUWS011456",49,"N",13,"W"
"SUWS011465",47,"N",15,"W"
"SUWS011467",48,"N",12,"W"
"SUWS011471",48,"N",9,"W"
"SUWS011474",16,"N",5,"W"
"SUWS011475",49,"N",10,"W"
"SUWS011479",49,"N",13,"W"
"SUWS011481",49,"N",10,"W"
"SUWS011482b",49,"N",13,"W"
"SUWS011488",14,"N",7,"W"
"SUWS011490",49,"N",3,"W"
"SUWS011491",48,"N",12,"W"
"SUWS011492",51,"N",3,"W"
"SUWS011494",46,"N",15,"W"
"SUWS011496",49,"N",10,"W"
"SUWS011499",47,"N",14,"W"
"SUWS011500",44,"N",3,"E"
"SUWS011503",47,"N",15,"W"
"SUWS011504",49,"N",14,"W"
"SUWS011507",43,"N",12,"W"
"SUWS011508",47,"N",10,"W"
"SUWS011511",46,"N",15,"W"
"SUWS011515",15,"N",7,"W"
"SUWS011516",49,"N",13,"W"
"SUWS011517",49,"N",13,"W"
"SUWS011518",49,"N",14,"W"
"SUWS011523",49,"N",13,"W"
"SUWS011524",49,"N",13,"W"
"SUWS011530",45,"N",11,"W"
"SUWS011532",48,"N",10,"W"
"SUWS011534",48,"N",12,"W"
"SUWS011535",44,"N",2,"E"
"SUWS011538",46,"N",14,"W"
"SUWS011543",44,"N",11,"W"
"SUWS011547",47,"N",10,"W"
"SUWS011548",49,"N",12,"W"
"SUWS011549",49,"N",13,"W"
"SUWS011551",3,"N",22,"E"
"SUWS011552",48,"N",10,"W"
"SUWS011555",44,"N",8,"W"
"SUWS011561",44,"N",7,"W"
"SUWS011562",47,"N",10,"W"
"SUWS011567",49,"N",14,"W"
"SUWS011569",48,"N",12,"W"
"SUWS011582",16,"N",11,"E"
"SUWS011585",49,"N",12,"W"
"SUWS011594",48,"N",5,"W"
"SUWS011595",47,"N",14,"W"
"SUWS011598",48,"N",10,"W"
"SUWS011599",46,"N",10,"W"
"SUWS011600",49,"N",13,"W"
"SUWS011604",49,"N",14,"W"
"SUWS011606",14,"N",7,"W"
"SUWS011608",49,"N",10,"W"
"SUWS011612",45,"N",3,"E"
"SUWS011615",46,"N",10,"W"
"SUWS011616",48,"N",10,"W"
"SUWS011620",47,"N",10,"W"
"SUWS011626",49,"N",10,"W"
"SUWS011627",48,"N",14,"W"
"SUWS011629",49,"N",13,"W"
"SUWS011633",48,"N",14,"W"
"SUWS011635",49,"N",13,"W"
"SUWS011648",46,"N",13,"W"
"SUWS011654",47,"N",10,"W"
"SUWS011660",46,"N",13,"W"
"SUWS011661",47,"N",14,"W"
"SUWS011662",46,"N",13,"W"
"SUWS011665",47,"N",14,"W"
"SUWS011666",47,"N",10,"W"
"SUWS011669",46,"N",13,"W"
"SUWS011678",45,"N",13,"W"
"SUWS011680",48,"N",10,"W"
"SUWS011687",46,"N",13,"W"
"SUWS011691",46,"N",13,"W"
"SUWS011692",47,"N",10,"W"
"SUWS011695",45,"N",8,"W"
"SUWS011696",45,"N",6,"W"
"SUWS011701",46,"N",14,"W"
"SUWS011702",47,"N",10,"W"
"SUWS011710",49,"N",13,"W"
"SUWS011716",48,"N",10,"W"
"SUWS011717",46,"N",9,"W"
"SUWS011719",49,"N",13,"W"
"SUWS011729",44,"N",14,"W"
"SUWS011730",46,"N",9,"W"
"SUWS011735",45,"N",8,"W"
"SUWS011737",41,"N",16,"W"
"SUWS011742",46,"N",14,"W"
"SUWS011745",46,"N",13,"W"
"SUWS011746",46,"N",13,"W"
"SUWS011748",45,"N",11,"W"
"SUWS011750",49,"N",3,"W"
"SUWS011751",49,"N",13,"W"
"SUWS011752",49,"N",10,"W"
"SUWS011753",46,"N",15,"W"
"SUWS011756",45,"N",11,"W"
"SUWS011768",49,"N",13,"W"
"SUWS011771",46,"N",15,"W"
"SUWS011774",52,"N",5,"W"
"SUWS011784",46,"N",15,"W"
"SUWS011789",16,"N",6,"W"
"SUWS011791",49,"N",10,"W"
"SUWS011801",20,"N",12,"W"
"SUWS011806",46,"N",10,"W"
"SUWS011807",49,"N",14,"W"
"SUWS011808",46,"N",14,"W"
"SUWS011812",49,"N",10,"W"
"SUWS011819",47,"N",8,"W"
"SUWS011820",52,"N",5,"W"
"SUWS011821",46,"N",13,"W"
"SUWS011823",46,"N",11,"W"
"SUWS011830",47,"N",14,"W"
"SUWS011831",47,"N",10,"W"
"SUWS011832",47,"N",10,"W"
"SUWS011833",48,"N",10,"W"
"SUWS011834",49,"N",13,"W"
"SUWS011836",47,"N",14,"W"
"SUWS011837",47,"N",14,"W"
"SUWS011839",48,"N",10,"W"
"SUWS011840",47,"N",14,"W"
"SUWS011841",47,"N",14,"W"
"SUWS011842",46,"N",15,"W"
"SUWS011844",49,"N",13,"W"
"SUWS011846",48,"N",9,"W"
"SUWS011848",6,"N",9,"E"
"SUWS011852",49,"N",10,"W"
"SUWS011853",49,"N",13,"W"
"SUWS011859",46,"N",10,"W"
"SUWS011863",45,"N",11,"W"
"SUWS011864",48,"N",10,"W"
"SUWS011865",36,"N",16,"W"
"SUWS011869",45,"N",11,"W"
"SUWS011873",48,"N",13,"W"
"SUWS011874",46,"N",15,"W"
"SUWS011875",45,"N",11,"W"
"SUWS011876",49,"N",14,"W"
"SUWS011878",47,"N",10,"W"
"SUWS011883",47,"N",10,"W"
"SUWS011885",48,"N",10,"W"
"SUWS011892",46,"N",10,"W"
"SUWS011893",46,"N",15,"W"
"SUWS011894",49,"N",10,"W"
"SUWS011896",44,"N",12,"W"
"SUWS011897",47,"N",14,"W"
"SUWS011901",45,"N",12,"W"
"SUWS011902",47,"N",14,"W"
"SUWS011904",46,"N",15,"W"
"SUWS011905",49,"N",10,"W"
"SUWS011906",49,"N",13,"W"
"SUWS011907",46,"N",15,"W"
"SUWS011908",49,"N",10,"W"
"SUWS011909",49,"N",13,"W"
"SUWS011912",46,"N",10,"W"
"SUWS011913",46,"N",10,"W"
"SUWS011914",45,"N",10,"W"
"SUWS011915",47,"N",14,"W"
"SUWS011916",49,"N",14,"W"
"SUWS011919",48,"N",10,"W"
"SUWS011924",47,"N",15,"W"
"SUWS011926",48,"N",13,"W"
"SUWS011927",49,"N",10,"W"
"SUWS011928",49,"N",13,"W"
"SUWS011933",13,"N",19,"E"
"SUWS011936",49,"N",13,"W"
"SUWS011943",46,"N",11,"W"
"SUWS011944",45,"N",12,"W"
"SUWS011955",46,"N",9,"W"
"SUWS011964",49,"N",10,"W"
"SUWS011966",49,"N",9,"W"
"SUWS011967",49,"N",13,"W"
"SUWS011971",46,"N",13,"W"
"SUWS011972",46,"N",13,"W"
"SUWS011974",2,"N",18,"E"
"SUWS011976",46,"N",15,"W"
"SUWS011980",49,"N",13,"W"
"SUWS011984",45,"N",9,"W"
"SUWS011987",49,"N",13,"W"
"SUWS011988",45,"N",10,"W"
"SUWS011992",43,"N",12,"W"
"SUWS011998",46,"N",15,"W"
"SUWS011999",48,"N",12,"W"
"SUWS012004",48,"N",10,"W"
"SUWS012005",48,"N",10,"W"
"SUWS012010",48,"N",10,"W"
"SUWS012015",49,"N",13,"W"
"SUWS012016",49,"N",13,"W"
"SUWS012017",49,"N",13,"W"
"SUWS012018",49,"N",13,"W"
"SUWS012019",49,"N",13,"W"
"SUWS012020",49,"N",13,"W"
"SUWS012021",49,"N",13,"W"
"SUWS012022",49,"N",13,"W"
"SUWS012024",46,"N",10,"W"
"SUWS012025",45,"N",10,"W"
"SUWS012030",48,"N",7,"W"
"SUWS012036",46,"N",15,"W"
"SUWS012038",48,"N",10,"W"
"SUWS012039",49,"N",13,"W"
"SUWS012040",49,"N",13,"W"
"SUWS012041",49,"N",13,"W"
"SUWS012042",49,"N",13,"W"
"SUWS012043",49,"N",13,"W"
"SUWS012045",49,"N",13,"W"
"SUWS012046",49,"N",13,"W"
"SUWS012049",49,"N",13,"W"
"SUWS012050",49,"N",13,"W"
"SUWS012052",49,"N",13,"W"
"SUWS012054",49,"N",10,"W"
"SUWS012060",49,"N",13,"W"
