"catalogNumber","N_latitude","W_longitude"
"SUWS011351","46.342280 N"," 91.349010 W"
"SUWS011352","46.676820 N"," 91.678960 W"
"SUWS011361","46.712310 N"," 92.091360 W"
"SUWS011363","46.449670 N"," 90.186560 W"
"SUWS011364","46.553000 N"," 91.576580 W"
"SUWS011366","46.342280 N"," 91.349010 W"
"SUWS011367","46.342280 N"," 91.349010 W"
"SUWS011368","46.342280 N"," 91.349010 W"
"SUWS011380","46.732160 N"," 92.066300 W"
"SUWS011385","46.496960 N"," 92.259050 W"
"SUWS011386","46.654970 N"," 92.104420 W"
"SUWS011387","46.654970 N"," 92.104420 W"
"SUWS011388","46.489860 N"," 92.184140 W"
"SUWS011389","46.489860 N"," 92.184140 W"
"SUWS011391","46.353270 N"," 91.822410 W"
"SUWS011393","46.654970 N"," 92.104420 W"
"SUWS011400","46.553000 N"," 91.576580 W"
"SUWS011401","46.654970 N"," 92.104420 W"
"SUWS011410","45.967410 N"," 92.363490 W"
"SUWS011411","45.967410 N"," 92.363490 W"
"SUWS011414","46.489170 N"," 91.554950 W"
"SUWS011415","46.489860 N"," 92.184140 W"
"SUWS011420","46.724590 N"," 92.091960 W"
"SUWS011420b","46.711630 N"," 92.090630 W"
"SUWS011421","46.489860 N"," 92.184140 W"
"SUWS011423","46.489860 N"," 92.184140 W"
"SUWS011424","46.345600 N"," 91.199260 W"
"SUWS011425","46.082870 N"," 92.111270 W"
"SUWS011426","46.636370 N"," 92.103740 W"
"SUWS011428","46.636370 N"," 92.103740 W"
"SUWS011429","46.654970 N"," 92.104420 W"
"SUWS011430","46.464110 N"," 91.899400 W"
"SUWS011431","46.489860 N"," 92.184140 W"
"SUWS011435","46.586040 N"," 91.720740 W"
"SUWS011437","46.536450 N"," 91.153400 W"
"SUWS011442","46.342280 N"," 91.349010 W"
"SUWS011443","46.342280 N"," 91.349010 W"
"SUWS011448","46.514920 N"," 91.636800 W"
"SUWS011449","44.019720 N"," 91.486810 W"
"SUWS011457","46.681220 N"," 92.066310 W"
"SUWS011458","46.696630 N"," 92.034950 W"
"SUWS011461","46.717840 N"," 92.087860 W"
"SUWS011462","46.717840 N"," 92.087860 W"
"SUWS011463","45.314130 N"," 91.651000 W"
"SUWS011468","46.342280 N"," 91.349010 W"
"SUWS011469","46.342280 N"," 91.349010 W"
"SUWS011470","46.342280 N"," 91.349010 W"
"SUWS011477","46.681220 N"," 92.066310 W"
"SUWS011478","46.681220 N"," 92.066310 W"
"SUWS011482","46.342280 N"," 91.349010 W"
"SUWS011483","46.717840 N"," 92.087860 W"
"SUWS011485","46.681220 N"," 92.066310 W"
"SUWS011486","46.681220 N"," 92.066310 W"
"SUWS011493","46.681220 N"," 92.066310 W"
"SUWS011495","46.681220 N"," 92.066310 W"
"SUWS011497","46.717840 N"," 92.087860 W"
"SUWS011498","46.717840 N"," 92.087860 W"
"SUWS011501","46.510200 N"," 91.703720 W"
"SUWS011502","46.456690 N"," 91.983970 W"
"SUWS011505","46.691110 N"," 91.917310 W"
"SUWS011506","46.682110 N"," 92.150820 W"
"SUWS011509","46.681220 N"," 92.066310 W"
"SUWS011512","46.681220 N"," 92.066310 W"
"SUWS011513","46.681220 N"," 92.066310 W"
"SUWS011514","46.681220 N"," 92.066310 W"
"SUWS011519","46.681220 N"," 92.066310 W"
"SUWS011520","46.681220 N"," 92.066310 W"
"SUWS011521","46.681220 N"," 92.066310 W"
"SUWS011526","46.681220 N"," 92.066310 W"
"SUWS011527","46.681220 N"," 92.066310 W"
"SUWS011528","46.681220 N"," 92.066310 W"
"SUWS011529","46.681220 N"," 92.066310 W"
"SUWS011531","46.681220 N"," 92.066310 W"
"SUWS011533","46.681220 N"," 92.066310 W"
"SUWS011537","46.847250 N"," 91.127600 W"
"SUWS011546","46.254130 N"," 91.798520 W"
"SUWS011550","46.712310 N"," 92.091360 W"
"SUWS011553","46.489860 N"," 92.184140 W"
"SUWS011554","46.489860 N"," 92.184140 W"
"SUWS011557","46.342260 N"," 91.411920 W"
"SUWS011558","46.681220 N"," 92.066310 W"
"SUWS011559","46.718000 N"," 92.055750 W"
"SUWS011560","46.491330 N"," 92.199720 W"
"SUWS011563","45.125470 N"," 92.671950 W"
"SUWS011564","46.342280 N"," 91.349010 W"
"SUWS011565","46.235550 N"," 91.257970 W"
"SUWS011566","46.235550 N"," 91.257970 W"
"SUWS011572","46.385360 N"," 91.336900 W"
"SUWS011573","46.718130 N"," 92.114680 W"
"SUWS011574","46.374500 N"," 91.349350 W"
"SUWS011575","46.712310 N"," 92.091360 W"
"SUWS011576","46.489860 N"," 92.184140 W"
"SUWS011577","46.342280 N"," 91.349010 W"
"SUWS011578","46.341800 N"," 91.347660 W"
"SUWS011579","46.489860 N"," 92.184140 W"
"SUWS011580","46.339030 N"," 91.302260 W"
"SUWS011584","46.724590 N"," 92.091960 W"
"SUWS011587","46.724590 N"," 92.091960 W"
"SUWS011588","46.716880 N"," 92.074360 W"
"SUWS011590","46.478140 N"," 90.988250 W"
"SUWS011591","46.340850 N"," 91.426630 W"
"SUWS011593","46.717010 N"," 92.093500 W"
"SUWS011602","46.681220 N"," 92.066310 W"
"SUWS011605","46.342280 N"," 91.349010 W"
"SUWS011607","46.277800 N"," 91.278910 W"
"SUWS011610","46.342280 N"," 91.349010 W"
"SUWS011611","46.517160 N"," 91.593770 W"
"SUWS011614","46.681220 N"," 92.066310 W"
"SUWS011617","46.336890 N"," 91.216030 W"
"SUWS011618","46.342280 N"," 91.349010 W"
"SUWS011619","46.435210 N"," 90.996890 W"
"SUWS011621","46.277800 N"," 91.278910 W"
"SUWS011622","46.342260 N"," 91.286090 W"
"SUWS011623","46.385360 N"," 91.336900 W"
"SUWS011624","46.342280 N"," 91.349010 W"
"SUWS011625","46.342280 N"," 91.349010 W"
"SUWS011628","46.374500 N"," 91.349350 W"
"SUWS011630","46.668030 N"," 92.103740 W"
"SUWS011631","46.694720 N"," 91.992650 W"
"SUWS011632","45.125470 N"," 92.671950 W"
"SUWS011639","46.691110 N"," 91.917310 W"
"SUWS011640","46.681220 N"," 92.066310 W"
"SUWS011642","46.689460 N"," 92.019620 W"
"SUWS011643","46.717010 N"," 92.093500 W"
"SUWS011650","46.434230 N"," 92.061740 W"
"SUWS011652","46.681220 N"," 92.066310 W"
"SUWS011655","46.681220 N"," 92.066310 W"
"SUWS011657","46.691110 N"," 91.917310 W"
"SUWS011663","46.489860 N"," 92.184140 W"
"SUWS011664","46.551430 N"," 91.700010 W"
"SUWS011667","46.477750 N"," 92.061050 W"
"SUWS011673","45.944470 N"," 89.653240 W"
"SUWS011675","46.325510 N"," 90.661020 W"
"SUWS011676","46.342280 N"," 91.349010 W"
"SUWS011679","46.552950 N"," 91.681840 W"
"SUWS011689","46.342280 N"," 91.349010 W"
"SUWS011690","46.489860 N"," 92.184140 W"
"SUWS011697","46.180850 N"," 91.699300 W"
"SUWS011706","46.342280 N"," 91.349010 W"
"SUWS011714","46.517380 N"," 91.604200 W"
"SUWS011715","46.636370 N"," 92.103740 W"
"SUWS011718","46.434230 N"," 92.061740 W"
"SUWS011720","46.489860 N"," 92.184140 W"
"SUWS011722","46.342280 N"," 91.349010 W"
"SUWS011723","46.342280 N"," 91.349010 W"
"SUWS011727","46.374500 N"," 91.349350 W"
"SUWS011731","46.347130 N"," 91.272800 W"
"SUWS011733","46.342280 N"," 91.349010 W"
"SUWS011734","46.342280 N"," 91.349010 W"
"SUWS011736","46.385250 N"," 91.246980 W"
"SUWS011738","46.342280 N"," 91.349010 W"
"SUWS011740","46.489860 N"," 92.184140 W"
"SUWS011741","46.342280 N"," 91.349010 W"
"SUWS011749","46.681220 N"," 92.066310 W"
"SUWS011754","46.654970 N"," 92.104420 W"
"SUWS011755","46.654970 N"," 92.104420 W"
"SUWS011760","46.542220 N"," 91.386700 W"
"SUWS011761","46.542220 N"," 91.386700 W"
"SUWS011762","46.542220 N"," 91.386700 W"
