"catalogNumber","t_num","t_dir","r_num","r_dir"
"SUWS011640",49,"N",14,"W"
"SUWS011642",49,"N",13,"W"
"SUWS011643",49,"N",14,"W"
"SUWS011650",46,"N",14,"W"
"SUWS011652",49,"N",14,"W"
"SUWS011655",49,"N",14,"W"
"SUWS011657",49,"N",12,"W"
"SUWS011663",46,"N",15,"W"
"SUWS011664",47,"N",11,"W"
"SUWS011667",46,"N",14,"W"
"SUWS011673",40,"N",7,"E"
"SUWS011675",44,"N",2,"W"
"SUWS011676",45,"N",8,"W"
"SUWS011679",47,"N",11,"W"
"SUWS011689",45,"N",8,"W"
"SUWS011690",46,"N",15,"W"
"SUWS011697",43,"N",11,"W"
"SUWS011706",45,"N",8,"W"
"SUWS011714",47,"N",10,"W"
"SUWS011715",48,"N",14,"W"
"SUWS011718",46,"N",14,"W"
"SUWS011720",46,"N",15,"W"
"SUWS011722",45,"N",8,"W"
"SUWS011723",45,"N",8,"W"
"SUWS011727",45,"N",8,"W"
"SUWS011731",45,"N",7,"W"
"SUWS011733",45,"N",8,"W"
"SUWS011734",45,"N",8,"W"
"SUWS011736",45,"N",7,"W"
"SUWS011738",45,"N",8,"W"
"SUWS011740",46,"N",15,"W"
"SUWS011741",45,"N",8,"W"
"SUWS011749",49,"N",14,"W"
"SUWS011754",48,"N",14,"W"
"SUWS011755",48,"N",14,"W"
"SUWS011760",47,"N",8,"W"
"SUWS011761",47,"N",8,"W"
"SUWS011762",47,"N",8,"W"
"SUWS011763",45,"N",8,"W"
"SUWS011765",44,"N",7,"W"
"SUWS011766",47,"N",8,"W"
"SUWS011769",45,"N",8,"W"
"SUWS011770",45,"N",8,"W"
"SUWS011772",48,"N",12,"W"
"SUWS011775",49,"N",14,"W"
"SUWS011777",47,"N",10,"W"
"SUWS011779",49,"N",14,"W"
"SUWS011780",49,"N",14,"W"
"SUWS011781",45,"N",8,"W"
"SUWS011783",45,"N",8,"W"
"SUWS011788",49,"N",14,"W"
"SUWS011790",48,"N",14,"W"
"SUWS011794",47,"N",15,"W"
"SUWS011795",45,"N",8,"W"
"SUWS011797",45,"N",7,"W"
"SUWS011798",45,"N",8,"W"
"SUWS011799",49,"N",14,"W"
"SUWS011800",48,"N",14,"W"
"SUWS011803",45,"N",8,"W"
"SUWS011804",45,"N",8,"W"
"SUWS011805",45,"N",8,"W"
"SUWS011809",47,"N",10,"W"
"SUWS011811",45,"N",8,"W"
"SUWS011813",45,"N",8,"W"
"SUWS011814",45,"N",8,"W"
"SUWS011815",49,"N",14,"W"
"SUWS011816",45,"N",8,"W"
"SUWS011817",43,"N",11,"W"
"SUWS011822",49,"N",14,"W"
"SUWS011826",46,"N",15,"W"
"SUWS011827",46,"N",15,"W"
"SUWS011828",45,"N",8,"W"
"SUWS011829",45,"N",8,"W"
"SUWS011843",48,"N",14,"W"
"SUWS011845",49,"N",14,"W"
"SUWS011847",46,"N",15,"W"
"SUWS011854",49,"N",14,"W"
"SUWS011860",33,"N",11,"W"
"SUWS011861",48,"N",14,"W"
"SUWS011862",48,"N",14,"W"
"SUWS011867",48,"N",14,"W"
"SUWS011868",18,"N",23,"E"
"SUWS011870",46,"N",15,"W"
"SUWS011871",44,"N",7,"W"
"SUWS011881",48,"N",14,"W"
"SUWS011884",47,"N",10,"W"
"SUWS011887",48,"N",14,"W"
"SUWS011898",48,"N",14,"W"
"SUWS011899",48,"N",14,"W"
"SUWS011900",46,"N",15,"W"
"SUWS011903",45,"N",8,"W"
"SUWS011918",45,"N",7,"W"
"SUWS011920",46,"N",15,"W"
"SUWS011921",45,"N",8,"W"
"SUWS011922",45,"N",8,"W"
"SUWS011923",31,"N",19,"W"
"SUWS011938",14,"N",2,"E"
"SUWS011939",14,"N",2,"E"
"SUWS011940",45,"N",8,"W"
"SUWS011941",45,"N",7,"W"
"SUWS011942",44,"N",11,"W"
"SUWS011945",33,"N",10,"W"
"SUWS011947",45,"N",8,"W"
"SUWS011948",45,"N",8,"W"
"SUWS011949",45,"N",8,"W"
"SUWS011951",45,"N",8,"W"
"SUWS011956",46,"N",15,"W"
"SUWS011957",45,"N",12,"W"
"SUWS011958",45,"N",8,"W"
"SUWS011960",45,"N",8,"W"
"SUWS011961",44,"N",8,"W"
"SUWS011962",45,"N",8,"W"
"SUWS011963",45,"N",8,"W"
"SUWS011969",44,"N",7,"W"
"SUWS011970",44,"N",7,"W"
"SUWS011973",45,"N",7,"W"
"SUWS011975",43,"N",7,"W"
"SUWS011977",38,"N",16,"W"
"SUWS011978",49,"N",14,"W"
"SUWS011979",26,"N",7,"W"
"SUWS011985",45,"N",8,"W"
"SUWS011993",45,"N",8,"W"
"SUWS011994",40,"N",16,"W"
"SUWS011996",16,"N",3,"E"
"SUWS012000",48,"N",11,"W"
"SUWS012007",45,"N",8,"W"
"SUWS012008",47,"N",11,"W"
"SUWS012009",50,"N",8,"W"
"SUWS012012",45,"N",8,"W"
"SUWS012013",45,"N",8,"W"
"SUWS012014",46,"N",12,"W"
"SUWS012023",49,"N",13,"W"
"SUWS012026",37,"N",20,"E"
"SUWS012027",45,"N",8,"W"
"SUWS012028",47,"N",10,"W"
"SUWS012029",45,"N",8,"W"
"SUWS012031",45,"N",8,"W"
"SUWS012032",40,"N",16,"W"
"SUWS012033",49,"N",14,"W"
"SUWS012034",49,"N",14,"W"
"SUWS012037",45,"N",8,"W"
"SUWS012047",49,"N",14,"W"
"SUWS012055",47,"N",15,"W"
"SUWS012058",44,"N",7,"W"
"SUWS012059",43,"N",7,"W"
"SUWS012061",49,"N",14,"W"
"SUWS012067",48,"N",14,"W"
"SUWS012070",48,"N",8,"W"
"SUWS012072",45,"N",8,"W"
"SUWS012073",49,"N",14,"W"
"SUWS012074",45,"N",7,"W"
"SUWS012076",45,"N",8,"W"
"SUWS012080",47,"N",11,"W"
"SUWS012082",51,"N",6,"W"
"SUWS012084",45,"N",8,"W"
"SUWS012089",48,"N",14,"W"
"SUWS012091",45,"N",8,"W"
"SUWS012094",49,"N",13,"W"
"SUWS012109",49,"N",14,"W"
"SUWS012111",45,"N",8,"W"
"SUWS012115",40,"N",16,"W"
"SUWS012118",46,"N",10,"W"
"SUWS012130",21,"N",13,"W"
"SUWS012137",45,"N",8,"W"
"SUWS012138",45,"N",8,"W"
"SUWS012153",17,"N",5,"W"
"SUWS012154",45,"N",8,"W"
"SUWS012163",52,"N",2,"W"
"SUWS012167",49,"N",14,"W"
"SUWS012169",49,"N",14,"W"
"SUWS012171",49,"N",12,"W"
"SUWS012174",40,"N",16,"W"
"SUWS012176",49,"N",14,"W"
"SUWS012181",45,"N",8,"W"
"SUWS012186",26,"N",17,"W"
"SUWS012191",46,"N",5,"W"
"SUWS012195",40,"N",16,"W"
"SUWS012196",40,"N",16,"W"
"SUWS012198",48,"N",10,"W"
"SUWS012199",48,"N",10,"W"
"SUWS012200",48,"N",10,"W"
"SUWS012201",49,"N",14,"W"
"SUWS012202",49,"N",14,"W"
"SUWS012204",14,"N",2,"E"
"SUWS012205",14,"N",2,"E"
"SUWS012208",49,"N",14,"W"
"SUWS012212",45,"N",8,"W"
"SUWS012213",48,"N",14,"W"
"SUWS012214",44,"N",7,"W"
"SUWS012215",45,"N",8,"W"
"SUWS012217",45,"N",8,"W"
"SUWS012218",45,"N",7,"W"
"SUWS012221",44,"N",7,"W"
"SUWS012223",45,"N",8,"W"
"SUWS012224",31,"N",19,"W"
"SUWS012226",49,"N",14,"W"
"SUWS012227",45,"N",8,"W"
"SUWS012245",49,"N",14,"W"
"SUWS012247",38,"N",16,"W"
"SUWS012248",45,"N",7,"W"
"SUWS012249",43,"N",7,"W"
"SUWS012250",45,"N",8,"W"
"SUWS012253",44,"N",7,"W"
"SUWS012254",16,"N",3,"E"
"SUWS012255",45,"N",6,"W"
"SUWS012258",45,"N",8,"W"
"SUWS012261",45,"N",8,"W"
"SUWS012264",45,"N",8,"W"
"SUWS012265",44,"N",8,"W"
"SUWS012266",45,"N",8,"W"
"SUWS012271",44,"N",8,"W"
"SUWS012274",48,"N",14,"W"
"SUWS012275",43,"N",7,"W"
"SUWS012279",45,"N",7,"W"
"SUWS012281",45,"N",8,"W"
"SUWS012282",45,"N",7,"W"
"SUWS012284",45,"N",8,"W"
"SUWS012285",45,"N",8,"W"
"SUWS012286",45,"N",7,"W"
"SUWS012287",27,"N",9,"W"
"SUWS012288",45,"N",8,"W"
"SUWS012292",49,"N",14,"W"
"SUWS012294",49,"N",14,"W"
"SUWS012295",45,"N",8,"W"
"SUWS012296",44,"N",7,"W"
"SUWS012297",45,"N",8,"W"
"SUWS012302",49,"N",14,"W"
"SUWS012303",49,"N",14,"W"
"SUWS012304",14,"N",2,"E"
"SUWS012316",49,"N",14,"W"
"SUWS012319",49,"N",13,"W"
"SUWS012323",45,"N",8,"W"
"SUWS012324",45,"N",8,"W"
"SUWS012325",45,"N",8,"W"
"SUWS012326",45,"N",7,"W"
"SUWS012330",44,"N",7,"W"
"SUWS012331",43,"N",7,"W"
"SUWS012336",45,"N",8,"W"
