"catalogNumber","class","order","family","scientificName","taxonID","scientificNameAuthorship","genus","specificEpithet","infraspecificEpithet","taxonRank","identifiedBy","dateIdentified","recordedBy","recordNumber","eventDate","year","month","day","startDayOfYear","verbatimEventDate","occurrenceRemarks","habitat","informationWithheld","dynamicProperties","county","locality","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","verbatimCoordinates","georeferenceProtocol","georeferenceSources","georeferenceRemarks","minimumElevationInMeters","verbatimElevation"
"SUWS017551","Equisetopsida","Ericales","Ericaceae","Pyrola elliptica",4722,"Nutt.","Pyrola","elliptica","","","Hlina, Paul","2007-06-30","Anderson, Derek S.","105","2007-06-30",2007,6,30,181,"","","Pine (xeric) forest.","","","Douglas","Amnicon Falls State Park; Plot 2 .",46.60592555,-91.89085675,NA,NA,"T48N R12W sec29","","","",NA,""
"SUWS017507","Equisetopsida","Aquifoliales","Aquifoliaceae","Ilex verticillata",3923,"(L.) A.Gray","Ilex","verticillata","","","Hlina, Paul","2007-06-30","Senti, Peter","189","2007-06-30",2007,6,30,181,"","","Red pine plantation.","","","Douglas","Amnicon Falls State Park; Plot 2",46.60592555,-91.89085675,NA,NA,"T48N R12W sec29","","","",NA,""
"SUWS017424","Equisetopsida","Polypodiales","Dryopteridaceae","Athyrium filix-femina var. angustum",6516,"(Willd.) G.Lawson","Athyrium","filix-femina","angustum","var.","Hlina, Paul","2006-08-03","Anderson, Derek S.","180","2006-08-03",2006,8,3,215,"","","Moist ground in shade.","","","Douglas","Amnicon Falls State Park; Snake Pit area",46.60949853,-91.90143447,NA,NA,"T48N R12W sec29","","","",NA,""
"SUWS017443","Equisetopsida","Polypodiales","Dryopteridaceae","Dryopteris cristata",3441,"(L.) A.Gray","Dryopteris","cristata","","","Hlina, Paul","2006-09-23","Hlina, Paul","205","2006-09-23",2006,9,23,266,"","","40-60 year old aspen/birch forest.","","","Douglas","Amnicon Falls State Park",46.62762102,-91.89607963,NA,NA,"T48N R12W sec20","","","",NA,""
"SUWS017550","Equisetopsida","Ericales","Ericaceae","Pyrola asarifolia subsp. asarifolia",6821,"","Pyrola","asarifolia","asarifolia","subsp.","Hlina, Paul","2006-09-19","Davidson, Donald W.","196","2006-09-19",2006,9,19,262,"","","Boreal forest.","","","Douglas","Amnicon Falls State Park - Upper Falls",46.61311219,-91.89072903,NA,NA,"T48N R12W sec29","","","",NA,""
"SUWS017404","Equisetopsida","Osmundales","Osmundaceae","Osmunda claytoniana",4383,"L.","Osmunda","claytoniana","","","Crook, Trista","2006-07-15","Anderson, Derek S.","85","2006-07-15",2006,7,15,196,"","","Boreal forest in shade.","","","Douglas","Amnicon Falls State Park",46.61311219,-91.89072903,NA,NA,"T48N R12W sec29","","","",NA,""
"SUWS017541","Equisetopsida","Ericales","Ericaceae","Gaultheria procumbens",3680,"L.","Gaultheria","procumbens","","","Hlina, Paul","2006-08-06","Bergman, Nils","133","2006-08-06",2006,8,6,218,"","","Boreal forest.","","","Douglas","Amnicon Falls State Park; near Snake Pit Falls",46.61311219,-91.89072903,NA,NA,"T48N R12W sec29","","","",NA,""
"SUWS017442","Equisetopsida","Polypodiales","Dryopteridaceae","Dryopteris cristata",3441,"(L.) A.Gray","Dryopteris","cristata","","","Hlina, Paul","2006-08-14","Crook, Trista","300","2006-08-14",2006,8,14,226,"","","Black ash swamp.","","","Douglas","Amnicon Falls State Park; N end of park",46.62396608,-91.90132923,NA,NA,"T48N R12W sec20","","","",NA,""
"SUWS017438","Equisetopsida","Polypodiales","Dryopteridaceae","Dryopteris carthusiana",3440,"(Vill.) H.P.Fuchs","Dryopteris","carthusiana","","","Crook, Trista","2006-08-03","Hlina, Paul","49","2006-08-03",2006,8,3,215,"","","Rock cliffs- growing in granite rocks.","","","Douglas","Amnicon Falls State Park - at base of falls",46.6131043,-91.89613188,NA,NA,"T48N R12W sec29","","","",NA,""
"SUWS017554","Equisetopsida","Ericales","Primulaceae","Lysimachia ciliata",4158,"L.","Lysimachia","ciliata","","","Hlina, Paul","2006-07-20","Bergman, Nils","365","2006-07-20",2006,7,20,201,"","","Moist heavier soils in sun on river bank in a mixed hardwood/boreal forest.","","","Douglas","Amnicon Falls State Park",46.61308618,-91.90139071,NA,NA,"T48N R12W sec29","","","",NA,""
"SUWS017409","Equisetopsida","Polypodiales","Dryopteridaceae","Gymnocarpium dryopteris",3784,"(L.) Newman","Gymnocarpium","dryopteris","","","Hlina, Paul","2006-07-07","Davidson, Donald W.","461","2006-07-07",2006,7,7,188,"","Invasive native fern dominating.","","","","Douglas","Amnicon Falls State Park - nature trail",46.60950676,-91.89616177,NA,NA,"T48N R12W sec29","","","",NA,""
"SUWS017540","Equisetopsida","Ericales","Ericaceae","Gaultheria procumbens",3680,"L.","Gaultheria","procumbens","","","Hlina, Paul","2006-07-21","Bergman, Nils","450","2006-07-21",2006,7,21,202,"","","Drier portions of the boreal forest.","","","Douglas","Amnicon Falls State Park",46.60952499,-91.89074577,NA,NA,"T48N R12W sec29","","","",NA,""
"SUWS017400","Equisetopsida","Equisetales","Equisetaceae","Equisetum arvense",3530,"L.","Equisetum","arvense","","","Hlina, Paul","2006-08-16","Bergman, Nils","379","2006-08-16",2006,8,16,228,"","","Ravine of falls.","","","Douglas","Amnicon Falls State Park - Now and Then Falls Area",46.60952499,-91.89074577,14887,NA,"T48N R12W sec29","","","",NA,""
"SUWS017401","Equisetopsida","Equisetales","Equisetaceae","Equisetum sylvaticum",3537,"L.","Equisetum","sylvaticum","","","","2007-02-01","Anderson, Derek S.","536","2006-08-18",2006,8,18,230,"","","Boreal forest in shade.","","","Douglas","Amnicon Falls State Park - Now and Then Falls",46.61311219,-91.89072903,14888,NA,"T48N R12W sec29","","","",NA,""
"SUWS017403","Equisetopsida","Equisetales","Equisetaceae","Equisetum fluviatile",3531,"L.","Equisetum","fluviatile","","","Hlina, Paul","2006-09-02","Crook, Trista","536","2006-09-02",2006,9,2,245,"","","Dry river bed.","","","Douglas","Amnicon Falls State Park - Amnicon River",46.62396608,-91.90132923,14889,NA,"T48N R12W sec20","","","",NA,""
"SUWS017404","Equisetopsida","Osmundales","Osmundaceae","Osmunda claytoniana",4383,"L.","Osmunda","claytoniana","","","","2007-02-01","Anderson, Derek S.","536","2006-08-18",2006,8,18,230,"","","Boreal forest in shade.","","","Douglas","Amnicon Falls State Park",46.61311219,-91.89072903,14890,NA,"T48N R12W sec29","","","",NA,""
"SUWS017409","Equisetopsida","Polypodiales","Dryopteridaceae","Gymnocarpium dryopteris",3784,"(L.) Newman","Gymnocarpium","dryopteris","","","Hlina, Paul","2006-07-07","Davidson, Donald W.","461","2006-07-07",2006,7,7,188,"","","","","Invasive native fern dominating.","Douglas","Amnicon Falls State Park - nature trail",46.60950676,-91.89616177,14894,NA,"T48N R12W sec29","","","",NA,""
"SUWS017410","Equisetopsida","Polypodiales","Dennstaedtiaceae","Pteridium aquilinum var. latiusculum",6819,"(Desv.) Underw. ex A.Heller","Pteridium","aquilinum","latiusculum","var.","","","Anderson, Derek S.","86","2002-06-30",2002,6,30,181,"","","Xeric pine forest.","","","Douglas","Amnicon Falls State Park - Plot 2",46.60592555,-91.89085675,14895,NA,"T48N R12W sec29","","","",NA,""
"SUWS017416","Equisetopsida","Polypodiales","Thelypteridaceae","Phegopteris connectilis",4474,"(Michx.) Watt","Phegopteris","connectilis","","","Hlina, Paul","2006-08-03","Bergman, Nils","150","2006-08-03",2006,8,3,215,"","","Boreal forest growing in moist rock ravine.","","","Douglas","Amnicon Falls State Park",46.61308618,-91.90139071,14893,NA,"T48N R12W sec29","","","",NA,""
