OBJECTID,TWP,RNG,DIR_ALPHA,Shape_Length,Shape_Area
873,27,6,E,53321.94404,-177915247.1
874,27,6,W,54053.95252,-182875266.1
875,27,7,E,53534.84251,-179392913.7
876,27,7,W,53766.38946,-180043311.9
877,27,8,E,53341.31094,-177749409.2
878,27,8,W,53969.04602,-182077057.6
879,27,9,E,59207.49125,-218182299.7
880,27,9,W,54120.80051,-182841830
881,27,10,E,54504.96112,-185791340.8
882,27,10,W,54069.47609,-182180165.8
883,27,11,E,54458.80179,-184618203.7
884,27,11,W,54116.14164,-182910415.4
885,27,12,E,54509.04029,-186020576.7
886,27,12,W,54205.08423,-183741156.2
887,27,13,E,55029.95474,-188703210
888,27,13,W,53974.52431,-182140355.8
889,27,14,E,54953.16997,-188584477.9
890,27,14,W,54139.98766,-183346861.8
891,27,15,E,55858.57835,-195559886.3
892,27,15,W,54047.65694,-182862399.1
893,27,16,E,55134.25461,-189416957.3
894,27,16,W,53377.97274,-177309069.6
895,27,17,E,54755.72537,-187626885.3
896,27,17,W,54327.35757,-184525730.5
897,27,18,E,53703.60364,-179447304.8
898,27,18,W,54455.9393,-185000233.5
899,27,19,E,54076.92498,-183034636.5
900,27,19,W,54227.06308,-183845117.3
901,27,20,E,53733.40894,-179789338.8
902,27,20,W,40484.07572,-71543504.29
903,27,21,E,54223.07387,-184114987.2
904,27,22,E,53304.80602,-176955987.2
905,27,23,E,54533.65885,-185202557.8
906,27,24,E,54023.09949,-182802894
907,27,25,E,54452.75661,-185974820.2
908,27,26,E,54813.32918,-166542139.4
909,27,27,E,9210.561659,-5301084.012
910,28,1,E,53606.75929,-179499275.7
911,28,1,W,54735.07756,-187442812
912,28,2,E,53547.03925,-178325532
913,28,2,W,54480.07653,-185461904.9
914,28,3,E,53835.01233,-181550152.9
915,28,3,W,54499.93594,-185487628.7
916,28,4,E,52752.61643,-172071763.9
917,28,4,W,54524.14191,-186111002.8
918,28,5,E,53529.98316,-179067629.1
919,28,5,W,54451.48028,-185331184.7
920,28,6,E,53270.04055,-177348617.8
921,28,6,W,54430.24122,-185087876.3
922,28,7,E,53424.13772,-178247326.9
923,28,7,W,54382.69082,-184966771.5
924,28,8,E,53631.40069,-179614074.2
925,28,8,W,54309.79431,-184507716.2
926,28,9,E,59525.7326,-218030381.8
927,28,9,W,54392.3796,-184475202.8
928,28,10,E,54615.73986,-186545984.3
929,28,10,W,54504.79296,-185516668.2
930,28,11,E,54315.3301,-184832437.5
931,28,11,W,54509.5319,-185986275
932,28,12,E,54336.7757,-184203178.6
933,28,12,W,54335.74888,-184355871.9
934,28,13,E,54642.94972,-186512380.2
935,28,13,W,54049.38911,-182412605.5
936,28,14,E,54678.98829,-187844856.3
937,28,14,W,54321.67013,-184422904.1
938,28,15,E,54954.00794,-188102278.2
939,28,15,W,54486.60151,-185537662
940,28,16,E,54859.23172,-188076676
941,28,16,W,53342.68227,-177526639.3
942,28,17,E,54245.10846,-184021330.5
943,28,17,W,54438.13287,-185279870
944,28,18,E,54257.63548,-184256629.9
945,28,18,W,54472.41456,-185562149.7
946,28,19,E,54219.76521,-183744365.1
947,28,19,W,54385.03802,-184748317.8
948,28,20,E,53743.13529,-181536859.7
949,28,20,W,36438.71699,-46818733.36
950,28,21,E,54345.92739,-182967226.5
951,28,22,E,53759.50213,-181152806.3
952,28,23,E,56008.62133,-195757935.9
953,28,24,E,53338.64391,-177093580.1
954,28,25,E,54409.69097,-184081476.4
955,28,26,E,55017.72083,-189392183.5
956,28,27,E,54518.88899,-128309472.5
957,29,1,E,53850.72886,-181084049.6
958,29,1,W,54742.35619,-186936756.7
959,29,2,E,53943.45003,-181812147.1
960,29,2,W,54467.22859,-185482930.7
961,29,3,E,54147.53944,-183366867.6
962,29,3,W,54395.85402,-185031825.2
963,29,4,E,53407.36236,-178495441.6
964,29,4,W,54619.92831,-186369609.1
965,29,5,E,54520.11317,-185335140.5
966,29,5,W,54467.39263,-185639759.6
967,29,6,E,53973.05684,-182028730.2
968,29,6,W,54229.4815,-183963956
969,29,7,E,53646.87161,-179253077.7
970,29,7,W,54268.93887,-182814819.6
971,29,8,E,53664.2171,-180137832.3
972,29,8,W,54209.91276,-183949532.9
